score,clean_content,minimal_content,roberta_sentiment,sentiment,sentiment_bi
4,"Please ask if the 5th grade is dc, and I am a 5th grade student who has a lot of words that cannot be read but also correct","please ask if the 5th grade be dc, and i be a 5th grade student who have a lot of word that cannot be read but also correct",neutral,1,1
1,"how come it's paid, there's no money me sis","how come it be paid, there be no money me si",negative,0,0
5,How does Android machine access the lesson through the sharing link? I do not open directly like the iOS machine,how do android machine access the lesson through the share link? i do not open directly like the io machine,neutral,1,1
1,"Too bad, I read Google standard but still did not let go","too bad, i read google standard but still do not let go",negative,0,0
3,pronunciation should be correct of speaker,pronunciation should be correct of speaker,neutral,1,1
5,very helpful ... suitable for those who want to fix the speaking,very helpful. suitable for those who want to fix the speaking,positive,2,1
5,"Great, anyway","great, anyway",positive,2,1
4,The software is worth paying,the software be worth pay,neutral,1,1
3,"This app is very promising. It isn't perfect, though. It still needs to be more accurate in its evaluations. For instance, it often misses initial consonant sounds that you have actually pronounced and, most importantly, it doesn't recognize the changes of sounds that normally occur in natural connected speech. For instance, when you're asked to say ""nice to meet you"" you need to pronounce the ""t"" in ""meet"" and the ""j"" sound in ""you"" very carefully. If you don't and you link both sounds and make a ""ch"" sound--which is what most native speakers do when they speak casually--ELSA points that out as a mistake. Once these details are corrected, ELSA will become a great app for learners of English as a foreign or second language.","this app be very promising. it be not perfect, though. it still need to be more accurate in it be evaluations. for instance, it often miss initial consonant sound that you have actually pronounce and, most importantly, it do not recognize the change of sound that normally occur in natural connect speech. for instance, when you be ask to say ""nice to meet you"" you need to pronounce the ""t"" in ""meet"" and the ""j"" sound in ""you"" very carefully. if you do not and you link both sound and make a ""ch"" sound-which be what most native speaker do when they speak casually-elsa point that out as a mistake. once these detail be corrected, elsa will become a great app for learner of english as a foreign or second language.",neutral,1,1
5,Such a wonderful app,such a wonderful app,positive,2,1
5,Absolutely great! I found it so fun.,absolutely great! i find it so fun.,positive,2,1
4,There are not many methodical lessons,there be not many methodical lesson,neutral,1,1
2,not bad 😔 🙃,not bad 😔 🙃,neutral,1,1
5,"I really like this application. But if there is more Vietnamese meaning, then better","i really like this application. but if there be more vietnamese meaning, then well",positive,2,1
5,i will purchase the life time,i will purchase the life time,neutral,1,1
1,this is very bad experience,this be very bad experience,negative,0,0
5,"After experiencing Elsa Speak, I feel very surprised when my level is improved","after experience elsa speak, i feel very surprised when my level be improve",neutral,1,1
5,is very good Elsa so i am happ,be very good elsa so i be happ,positive,2,1
1,"I don't like it, you are bagging money if you want to earn you can earn on ads it's a simple.","i do not like it, you be bag money if you want to earn you can earn on ad it be a simple.",negative,0,0
5,"excellent app,","excellent app,",positive,2,1
1,"This requires upgrading, but I can not upgrade with or without VPN","this require upgrading, but i can not upgrade with or without vpn",neutral,1,1
5,Incredible app. It teaches English pronunciation so finely that I am in love with this app 😍 😍,incredible app. it teach english pronunciation so finely that i be in love with this app 😍 😍,positive,2,1
5,Greatjob,greatjob,positive,2,1
4,it's very great,it be very great,positive,2,1
5,This app is marvellous! it helps me train my pronunciation in English with ease and joy.,this app be marvellous! it help me train my pronunciation in english with ease and joy.,positive,2,1
1,"Lack of the theory of IPA sounds, but not enough, many people want to learn ipa before leaving to learn vocabulary pronunciation but Elsa does not have, lack of direct video for words that pronunciation","lack of the theory of ipa sounds, but not enough, many people want to learn ipa before leave to learn vocabulary pronunciation but elsa do not have, lack of direct video for word that pronunciation",negative,0,0
4,It seems like I just need to speak correctly the underline words then the app will skip my mistakes for other words,it seem like i just need to speak correctly the underline word then the app will skip my mistake for other word,neutral,1,1
5,This app's actually help me to learn English pronunciation.I really like it.Thanks Elsa.,this apps actually help me to learn english pronunciation. i really like it. thanks elsa.,positive,2,1
5,This is the best app I've tried so far I really love it. ♡,this be the best app i have try so far i really love it. ♡,positive,2,1
3,not bad it's good,not bad it be good,positive,2,1
1,Buy already but not imported to buy to 800000vnd,buy already but not import to buy to 800000vnd,neutral,1,1
3,Good. I'm using the app for 5 minutes and it has asked me to submit a review how can I submit a review with just 5 minutes of experience?,good. i be use the app for 5 minute and it have ask me to submit a review how can i submit a review with just 5 minute of experience?,neutral,1,1
5,that's assume,that be assume,neutral,1,1
4,It would be better is there a free conversation not concerned with strict dialogue,it would be good be there a free conversation not concern with strict dialogue,neutral,1,1
1,After one month of submission the app will not work properly.,after one month of submission the app will not work properly.,negative,0,0
5,Better apps for decelop English language skills,well apps for decelop english language skill,neutral,1,1
5,its good but paid,it be good but pay,neutral,1,1
5,I'm used to practicing with it.,i be use to practice with it.,neutral,1,1
5,This is a very cool and useful application,this be a very cool and useful application,positive,2,1
1,Super slow load. Study but take a long time to wait a few minutes to load to continue,super slow load. study but take a long time to wait a few minute to load to continue,negative,0,0
5,CX is quite ok,cx be quite ok,neutral,1,1
5,This app needs to have common daily sentence examples for the practitioner to speak and remember the practical sentence patterns in his life not only pronounced?,this app need to have common daily sentence example for the practitioner to speak and remember the practical sentence pattern in his life not only pronounced?,neutral,1,1
5,"Bismillah ... just try and good, hopefully it will continue, TRMKSH 💐","bismillah. just try and good, hopefully it will continue, trmksh 💐",positive,2,1
2,Nothing special here,nothing special here,neutral,1,1
5,"The application is too good and too popular, but the manufacturer reduces the promotion and is okay and the application in the classroom I also hooked out to learn the teacher","the application be too good and too popular, but the manufacturer reduce the promotion and be okay and the application in the classroom i also hook out to learn the teacher",neutral,1,1
1,Still just trying. Not dare to give a high value,still just trying. not dare to give a high value,negative,0,0
1,Everything in this app need money,everything in this app need money,negative,0,0
1,"I was expecting Elsa her self to make me learn English but instead I get no Elsa , srry 1 star","i be expect elsa her self to make me learn english but instead i get no elsa, srry 1 star",negative,0,0
1,Getting too much lm,get too much lm,neutral,1,1
4,Studying very well only needs money,study very well only need money,neutral,1,1
1,It is true that a good app if there is no artificial content review like each other.,it be true that a good app if there be no artificial content review like each other.,neutral,1,1
4,it's a nice English pronunciation app,it be a nice english pronunciation app,positive,2,1
4,Yo? Why did I invite my friends to use it without receiving 3 Pro lessons,yo? why do i invite my friend to use it without receive 3 pro lesson,negative,0,0
1,Overpriced,overprice,neutral,1,1
4,"Perfect app, but I didn't want to pay for continue my membership for second month. Please cancel this purchase","perfect app, but i do not want to pay for continue my membership for second month. please cancel this purchase",negative,0,0
2,I can't log in,i cannot log in,neutral,1,1
5,"SUNDAY, OCTOBER 30, 2022","sunday, october 30, 2022",neutral,1,1
1,Recording in the middle of the interrupt. Many times.,record in the middle of the interrupt. many times.,neutral,1,1
5,Gene,gene,neutral,1,1
4,very nice learning institute.,very nice learning institute.,positive,2,1
5,Elsa is best to pronunciation English accent language so easy to use,elsa be best to pronunciation english accent language so easy to use,positive,2,1
1,The App is cool with more stuff my bad I purchased monthly plan. Now I am not able to use unlimited version it is asking to purchase again may I know what's wrong in the app. Can you extend the days ? After resolving the technical issue.,the app be cool with more stuff my bad i purchase monthly plan. now i be not able to use unlimited version it be ask to purchase again may i know what be wrong in the app. can you extend the days? after resolve the technical issue.,negative,0,0
5,"Good, but expensive","good, but expensive",neutral,1,1
4,"Hi, I just started using the app which seems quite good overall. However the videos tutorial make no sound, fixing that would be great.","hi, i just start use the app which seem quite good overall. however the videos tutorial make no sound, fix that would be great.",neutral,1,1
3,"""Failed calculate the score"" after lessons. Started this morning.","""failed calculate the score"" after lessons. start this morning.",negative,0,0
5,It's good that app but i don't know Why the price of the program is expensive,it be good that app but i do not know why the price of the program be expensive,negative,0,0
5,"I communicated with Americans, but most of me studied at Vietnamese stars so I went to evaluate to play, Elsa CX just helped me to pronounce but no new word end","i communicate with americans, but most of me study at vietnamese star so i go to evaluate to play, elsa cx just help me to pronounce but no new word end",neutral,1,1
5,crazzy app to master english speaking skills,crazzy app to master english speaking skill,neutral,1,1
4,"Good use, help me correct the wrong sounds","good use, help me correct the wrong sound",neutral,1,1
1,"The update is not great, why buy VIPs to open it all","the update be not great, why buy vip to open it all",negative,0,0
5,Best in Segment worth one I strongly recommend this for pronunciation practice 💯,best in segment worth one i strongly recommend this for pronunciation practice 💯,positive,2,1
5,Helpful for me to get a better pronounciation,helpful for me to get a good pronounciation,neutral,1,1
4,I went to the app thanks to Son Tung,i go to the app thanks to son tung,neutral,1,1
5,"This is great,I can finally my aunty in America, Elsa is the best","this be great, i can finally my aunty in america, elsa be the best",positive,2,1
5,I recommend it's perfect,i recommend it be perfect,positive,2,1
1,"This is so bad app it setl money for us it's so bad it's so bad it want 1,11222200 this much money","this be so bad app it setl money for u it be so bad it be so bad it want 1, 11222200 this much money",negative,0,0
5,so else english spoke 🫡 ♥️,so else english speak 🫡 ♥,neutral,1,1
1,"I'm unable to get my refund actually I'm looking for it's 7 days trial account and by accidentally i bought it's 1 year subscription which is around 5,500. Please help me and cancel my subscription so, that I can get my money back. Please 🙏","i be unable to get my refund actually i be look for it be 7 day trial account and by accidentally i buy it be 1 year subscription which be around 5, 500. please help me and cancel my subscription so, that i can get my money back. please 🙏",negative,0,0
4,The evaluation of your English level is accurately analyzed.,the evaluation of your english level be accurately analyzed.,neutral,1,1
5,good and standard,good and standard,neutral,1,1
1,It is not free and very expensive app. so I need uninstall this app,it be not free and very expensive app. so i need uninstall this app,negative,0,0
5,this is a better app ever,this be a well app ever,neutral,1,1
5,What would happen if the free trial version is over? Am I not be able to access this app anymore?,what would happen if the free trial version be over? be i not be able to access this app anymore?,negative,0,0
1,I can't download it all the time,i cannot download it all the time,negative,0,0
1,"Worse than any English application, I let my child study because it is forced to pay without any mail","bad than any english application, i let my child study because it be force to pay without any mail",negative,0,0
5,Super no words to say ....,super no word to say.,negative,0,0
5,it is just a perfect app ... o just love this app,it be just a perfect app. o just love this app,positive,2,1
4,App. Good good lun helps to improve your pronunciation,app. good good lun help to improve your pronunciation,positive,2,1
1,Money hungry and less than 5% of it is free and rest is paid,money hungry and less than 5% of it be free and rest be pay,neutral,1,1
3,"The dictionary function needs to be reviewed. When I look up the whole sentence, the long -term thought of Vietnamese is hidden with 3 dots (...)","the dictionary function need to be reviewed. when i look up the whole sentence, the long -term thought of vietnamese be hide with 3 dot .",neutral,1,1
5,I see saying me well,i see say me well,neutral,1,1
1,"App scam! Extremely disappointed! In terms of content, way of learning .. quite good to improve pronunciation. However, it must be manipulated to see Phonetic+meaning of the word, so in addition to pronunciation, it is difficult to learn vocabulary. Images if any is also very small! Download the app to try but find it not suitable. Who doubted after 7 days the app automatically registered for the 3 -month course and deducted money, did not ask for confirmation from the KH. Contact Elsa+Google Play, the two sides push each other's responsibility. No one resolves. Extremely disappointed! CHEAT!","app scam! extremely disappointed! in term of content, way of learning. quite good to improve pronunciation. however, it must be manipulate to see phonetic+meaning of the word, so in addition to pronunciation, it be difficult to learn vocabulary. image if any be also very small! download the app to try but find it not suitable. who doubt after 7 day the app automatically register for the 3 -month course and deduct money, do not ask for confirmation from the kh. contact elsa+google play, the two side push each others responsibility. no one resolves. extremely disappointed! cheat!",negative,0,0
5,sunita shresths,sunita shresths,neutral,1,1
5,I found this app UN believe able..it's very helpful for those people who have Passion to learn English and speak like native people ..,i find this app un believe able. it be very helpful for those people who have passion to learn english and speak like native people.,positive,2,1
5,I speak English very weak thanks to Elsa Speak but now I have improved my way of speaking,i speak english very weak thanks to elsa speak but now i have improve my way of speaking,neutral,1,1
2,"I have taken paid subscription of Elsa . There is problem in this app , it is tak much to download lesson as well as I am facing lots of problems with this app.","i have take pay subscription of elsa. there be problem in this app, it be tak much to download lesson as well as i be face lot of problem with this app.",negative,0,0
5,just now I join for learn English language.,just now i join for learn english language.,neutral,1,1
5,This application is good.,this application be good.,positive,2,1
5,i feel like good,i feel like good,positive,2,1
5,Very good help full 🙂,very good help full 🙂,positive,2,1
2,"Slowly Losing, It Lost About 45 Mins for 15 Min Practice","slowly losing, it lose about 45 min for 15 min practice",negative,0,0
1,Elsa often fails to show the button 🔊 let me hear the standard sound in the lessons.,elsa often fail to show the button 🔊 let me hear the standard sound in the lessons.,negative,0,0
5,"Its value is five, because it did not know what and what you got off","it be value be five, because it do not know what and what you get off",negative,0,0
5,very good pronouncuation,very good pronouncuation,positive,2,1
1,Why it does not work,why it do not work,negative,0,0
1,it is not what I expected at all. Not very helpful,it be not what i expect at all. not very helpful,negative,0,0
5,I just trying to understand it,i just try to understand it,neutral,1,1
2,"I really liked this app, but recently I am having some issues. Even if I complete 5 lessons every day, the app shows that I skipped practice. Please fix this bug asap because it's taking away the motivation to study...","i really like this app, but recently i be have some issues. even if i complete 5 lesson every day, the app show that i skip practice. please fix this bug asap because it be take away the motivation to study.",negative,0,0
4,if it's free than good for everyone.,if it be free than good for everyone.,positive,2,1
5,It's good I like that App,it be good i like that app,positive,2,1
4,"Hey, where is the lesson of people, the cheeks saved a pile of vocabulary and finished H could not find it","hey, where be the lesson of people, the cheek save a pile of vocabulary and finish h could not find it",negative,0,0
4,"The app is temporarily worth the 5 stars, but it is up to 4 stars","the app be temporarily worth the 5 stars, but it be up to 4 star",neutral,1,1
5,it's so good 😍 😍,it be so good 😍 😍,positive,2,1
4,Learn app. This is okay but it costs a lot,learn app. this be okay but it cost a lot,negative,0,0
5,"It's my first day and usage of this app, it's really a wonderful way to improve my accent and pronunciation. Thanks for who developed this app.","it be my first day and usage of this app, it be really a wonderful way to improve my accent and pronunciation. thanks for who develop this app.",positive,2,1
5,Elsa Speak is great for your English inprove to be better. I really like this application,elsa speak be great for your english inprove to be better. i really like this application,positive,2,1
1,"When I register, it is expired, why ???","when i register, it be expired, why?",negative,0,0
1,Madharchhod grib log laishe shikhenge,madharchhod grib log laishe shikhenge,neutral,1,1
4,"Useful applications, mn people should try","useful applications, mn people should try",negative,0,0
2,Today I find the application running too slowly.,today i find the application run too slowly.,negative,0,0
1,"Register 1 month by MOMO, a few months later automatically deduct money without notice. After deleting the app continues to deduct money. Annoyed","register 1 month by momo, a few month later automatically deduct money without notice. after delete the app continue to deduct money. annoy",negative,0,0
3,"Elsa should integrate the function to create Flashcard, the function of adjusting the meaning of the word in the part of the lesson to be more convenient for learning vocabulary","elsa should integrate the function to create flashcard, the function of adjust the meaning of the word in the part of the lesson to be more convenient for learn vocabulary",neutral,1,1
5,The sound is good for understanding,the sound be good for understand,neutral,1,1
4,"I think, its free usage is more convenience for users.So, we need more free for use.","i think, it be free usage be more convenience for users. so, we need more free for use.",neutral,1,1
5,The APK is very helpful but I hope for all the APK facilities all free hehe,the apk be very helpful but i hope for all the apk facility all free hehe,positive,2,1
5,"Pretty good app to exercise with, thanks for the work.","pretty good app to exercise with, thanks for the work.",positive,2,1
4,Please Don't make the elsa primium.,please do not make the elsa primium.,negative,0,0
1,this app is bad beacuse its not free.,this app be bad beacuse it be not free.,negative,0,0
1,Like cans of money,like can of money,neutral,1,1
1,Payed for 3 months but could not log in because of the error,pay for 3 month but could not log in because of the error,negative,0,0
3,I can't do my lessons because the app is constantly lag.,i cannot do my lesson because the app be constantly lag.,negative,0,0
3,Functions are okay but this app crashes out too often that interrupts my learning a lot!,function be okay but this app crash out too often that interrupt my learn a lot!,negative,0,0
4,uk accent would be nice to try study with AI tracher,uk accent would be nice to try study with ai tracher,positive,2,1
4,"Basic roadmap, lesson 104 cannot be downloaded","basic roadmap, lesson 104 cannot be download",negative,0,0
5,it's wonder,it be wonder,neutral,1,1
5,Good app to improve your accecent,good app to improve your accecent,positive,2,1
5,Nice app ... i like its ... powerful,nice app. i like its. powerful,positive,2,1
5,Wouah,wouah,neutral,1,1
5,Excellent for improving English speaking skills,excellent for improve english speaking skill,positive,2,1
5,Unexpected app and I can easily practice and knwo my level of Pronunciation,unexpected app and i can easily practice and knwo my level of pronunciation,neutral,1,1
5,This application is useful and good,this application be useful and good,positive,2,1
5,Ha 💓 💓 I advise everyone who wants to learn the English language to download it,ha 💓 💓 i advise everyone who want to learn the english language to download it,positive,2,1
5,know how to fix words and only pronounce correctly,know how to fix word and only pronounce correctly,neutral,1,1
5,"It's awsome, very very helpful 👍","it be awsome, very very helpful 👍",positive,2,1
5,It is not good,it be not good,negative,0,0
5,"Good application, help a lot in learning English","good application, help a lot in learn english",positive,2,1
1,Arrest account upgrade,arrest account upgrade,neutral,1,1
1,"Buy a premium package that can't learn anything, I don't know if I can deceive","buy a premium package that cannot learn anything, i do not know if i can deceive",negative,0,0
5,thanks for me smoothly so 🥰,thanks for me smoothly so 🥰,positive,2,1
5,Its actually effective,it be actually effective,neutral,1,1
5,i recommend this app,i recommend this app,positive,2,1
5,very good app love it,very good app love it,positive,2,1
4,It's hard to speaking. I have a sore throat when I learn how to speak /k/p/h/ and speak it again until per more 70% 😁 😄,it be hard to speaking. i have a sore throat when i learn how to speak /k/p/h/ and speak it again until per more 70% 😁 😄,neutral,1,1
5,I haven't seen it but thanks for sharing,i have not see it but thanks for share,neutral,1,1
5,this a perfect application for English speakers ever!,this a perfect application for english speaker ever!,positive,2,1
5,Too good can help me better,too good can help me good,positive,2,1
1,Naturally except a pile of money while I did not agree to buy the package.,naturally except a pile of money while i do not agree to buy the package.,negative,0,0
5,Its really helpfull 😊,it be really helpfull 😊,positive,2,1
5,Still trying,still try,neutral,1,1
4,Your application is a very good application because it is teaching our English vocabulary and English usage very well. Thank you.,your application be a very good application because it be teach our english vocabulary and english usage very well. thank you.,positive,2,1
5,"Exciting, this is a good application","exciting, this be a good application",positive,2,1
1,Need to fix .... download ... and have deleted,need to fix. download. and have delete,neutral,1,1
5,I know I am still new to the app but i can tell you it is really good app to learn English pronouncing.,i know i be still new to the app but i can tell you it be really good app to learn english pronouncing.,positive,2,1
2,This application is very cool very very,this application be very cool very very,positive,2,1
2,"Ok, first the app is broken. The AI sometimes is useless, because no matter how much you try, you'll fail some pronunciation exercises, because you have to sound ""native"" (when even natives fail the tests). The premium option is simple and only helps you to ""improve"" your pronunciation (obviously you'll fail 60% of the time, because the AI is designed to keep you ""improving"" constantly), but if you're B2 or less, it won't help you at all, because it doesn't challenge your knowledge.","ok, first the app be broken. the ai sometimes be useless, because no matter how much you try, you will fail some pronunciation exercises, because you have to sound ""native"" when even natives fail the test . the premium option be simple and only help you to ""improve"" your pronunciation obviously you will fail 60% of the time, because the ai be design to keep you ""improving"" constantly , but if you be b2 or less, it will not help you at all, because it do not challenge your knowledge.",negative,0,0
5,The software is quite useful !!!,the software be quite useful!,positive,2,1
5,"Thank you very much, Mr. Dan;)","thank you very much, mr. dan",positive,2,1
5,Elsa is the best app I have ever used.,elsa be the best app i have ever used.,positive,2,1
5,Very useful..I love it,very useful. i love it,positive,2,1
5,application is very good for study speakinh english,application be very good for study speakinh english,positive,2,1
1,No Azervaijan native language option,no azervaijan native language option,negative,0,0
5,Inviting studying is very good,invite study be very good,positive,2,1
5,"For pronunciation exercise, I think it is worth to try.","for pronunciation exercise, i think it be worth to try.",neutral,1,1
3,for now I'm working in this app,for now i be work in this app,neutral,1,1
5,lets learn,let u learn,neutral,1,1
5,Such a nice app for learning English,such a nice app for learn english,positive,2,1
1,"It is supposed to be free at first glance, and then my optional subscription is not in this compulsory way","it be suppose to be free at first glance, and then my optional subscription be not in this compulsory way",neutral,1,1
3,"The assessment is not that good and it shows that I confuse V with W... The tips they provide are good tho, however, the subscription isn't worth it and is high. It could be the quality of my microphone but I can hear my voice clearly.","the assessment be not that good and it show that i confuse v with w. the tip they provide be good tho, however, the subscription be not worth it and be high. it could be the quality of my microphone but i can hear my voice clearly.",negative,0,0
2,Everything I carry fails,everything i carry fails,negative,0,0
1,"Its 100% paid app , don't download if you are searching for free","it be 100% pay app, do not download if you be search for free",neutral,1,1
5,5/5 but it is not that good,5/5 but it be not that good,negative,0,0
4,Very good app for pronunciation practice,very good app for pronunciation practice,positive,2,1
5,perfect i'm study englich and actuly i'm not good in englich but this applicatoin is amazing,perfect i be study englich and actuly i be not good in englich but this applicatoin be amaze,positive,2,1
1,It accepts the voice and said that the wrong pronunciation still does not get the app like the Coin Card,it accept the voice and say that the wrong pronunciation still do not get the app like the coin card,negative,0,0
3,"While I made 3 stars first, because I just used the application. Later if I have added the star for a few days","while i make 3 star first, because i just use the application. later if i have add the star for a few day",neutral,1,1
5,Support Team enthusiastic support.,support team enthusiastic support.,positive,2,1
3,"The app uses quite well, but the game of the App is a lot of errors that cannot be recorded, wrong phonetic, wrong recording, ....","the app use quite well, but the game of the app be a lot of error that cannot be recorded, wrong phonetic, wrong recording, .",negative,0,0
5,This application has only two descriptions as great,this application have only two description as great,negative,0,0
3,"Learning is also useful and very good but being ""money"". Should not learn much: (((","learning be also useful and very good but be ""money"". should not learn much",neutral,1,1
5,it is helpful apps,it be helpful apps,neutral,1,1
4,I tried it for free but it charged me. Then I tried it and it The system and learning are quite difficult please refund my money,i try it for free but it charge me. then i try it and it the system and learning be quite difficult please refund my money,negative,0,0
1,"I tested the app right after purchasing it, and honestly, it was a letdown. The AI takes too long to respond after each question, which breaks the flow completely. It also struggles with pronunciation recognition and fails to give consistent answers. Overall, the experience was frustrating and far below expectations. I don’t feel it was worth the money.","i test the app right after purchase it, and honestly, it be a letdown. the ai take too long to respond after each question, which break the flow completely. it also struggle with pronunciation recognition and fail to give consistent answers. overall, the experience be frustrate and far below expectations. i do not t feel it be worth the money.",negative,0,0
5,Just know how to say too great. I haven't met any application yet!,just know how to say too great. i have not meet any application yet!,neutral,1,1
5,Very excellent application,very excellent application,positive,2,1
1,We Need Arabic,we need arabic,neutral,1,1
5,Ts very helpful,ts very helpful,positive,2,1
5,very conforming,very conform,neutral,1,1
5,Great app I like it I suggest you buying this programme.,great app i like it i suggest you buy this programme.,positive,2,1
5,This App Allow You to Improve My Speaking and Correct My Mistake,this app allow you to improve my speaking and correct my mistake,neutral,1,1
5,"I love it, I'm learning and improve my speaking skills","i love it, i be learn and improve my speaking skill",positive,2,1
1,requires money for learning..... and the free trial doesn't login.,require money for learning. and the free trial do not login.,neutral,1,1
1,Excellent pronunciation teachings,excellent pronunciation teaching,positive,2,1
2,Server Error very much ! that is stupid.,server error very much! that be stupid.,negative,0,0
5,Waw this app is amaizing,waw this app be amaizing,neutral,1,1
4,"I'm loving this app 💜, helps me get better and better in English every day","i be love this app 💜, help me get good and well in english every day",positive,2,1
1,Very poor app. In the ads they're showing this app is capable to teach but it's not. I want my money back.,very poor app. in the ad they be show this app be capable to teach but it be not. i want my money back.,negative,0,0
2,"Firstly, the app kept loading ""checking update"" continuously, while there was no update on the store ?? So just loading forever, not stop? If I blamed the network, I still run the other apps so rumbling, so don't blame :) The second one is listening to the Elsa introduced as the app in English - American intonation, so those who are familiar with the intonation of English - he will be hard to follow this app. Hopefully the developer will have more options for other types of intonation, not only at the UK - USA","firstly, the app keep load ""checking update"" continuously, while there be no update on the store? so just load forever, not stop? if i blame the network, i still run the other apps so rumbling, so do not blame the second one be listen to the elsa introduce as the app in english - american intonation, so those who be familiar with the intonation of english - he will be hard to follow this app. hopefully the developer will have more option for other type of intonation, not only at the uk - usa",negative,0,0
5,Help us learn English well,help u learn english well,neutral,1,1
5,Excellent 🤗 🤗 🤗,excellent 🤗 🤗 🤗,positive,2,1
5,Since studying Elsa Speak my voice is more fluent and more correct,since study elsa speak my voice be more fluent and more correct,positive,2,1
5,"A beautiful program, I thank those who designed it","a beautiful program, i thank those who design it",positive,2,1
5,that's great I'm improving my my English grammar nowadays,that be great i be improve my my english grammar nowadays,positive,2,1
5,I'm very happy for your service,i be very happy for your service,positive,2,1
1,"awesome, mind blowing app","awesome, mind blowing app",positive,2,1
5,I want to learn free version!,i want to learn free version!,neutral,1,1
5,The first time the evaluation for a great application,the first time the evaluation for a great application,positive,2,1
2,It is a good app but a lot of things needs money to open and the quality is very low. If you say something it will hear something else.So this is not for people who think this app is free.,it be a good app but a lot of thing need money to open and the quality be very low. if you say something it will hear something else. so this be not for people who think this app be free.,negative,0,0
5,Elsa is a one of the global liked teachers,elsa be a one of the global like teacher,neutral,1,1
5,Helps a lot while I have no one to speak or practice.,help a lot while i have no one to speak or practice.,negative,0,0
3,"In the past, I used ok but coughed increasingly Loading for a long time","in the past, i use ok but cough increasingly load for a long time",neutral,1,1
5,very very I like,very very i like,positive,2,1
1,this app hurts me really hard,this app hurt me really hard,negative,0,0
3,UI needs to be improved... a lot!,ui need to be improved. a lot!,neutral,1,1
4,"Very good, but when I came to the conversation, when the question was finished, I would not listen to the answer","very good, but when i come to the conversation, when the question be finished, i would not listen to the answer",neutral,1,1
5,App Learn to Speak English Very Well.,app learn to speak english very well.,positive,2,1
