level_0,index,content,score,clean_content,minimal_content,en_content,lang,lang_prob
32658,57607,,4,"There is no translate to the Indonesian language, all English, don't understand, the application is more to strengthen how to pronounce English","there be no translate to the indonesian language, all english, do not understand, the application be more to strengthen how to pronounce english","There is no translate to the Indonesian language, all English, don't understand, the application is more to strengthen how to pronounce English",en,0.7776191830635071
32659,57608,,4,The overall review is good starting from the material and practice. For now I haven't found something wrong. maybe I'll correct again later,the overall review be good start from the material and practice. for now i have not find something wrong. maybe i will correct again later,The overall review is good starting from the material and practice. For now I haven't found something wrong. maybe I'll correct again later,en,0.9749869108200073
32660,57609,,1,for the part of the pronunciation material is very difficult to have repeatedly tried to keep the function of the bad feature,for the part of the pronunciation material be very difficult to have repeatedly try to keep the function of the bad feature,for the part of the pronunciation material is very difficult to have repeatedly tried to keep the function of the bad feature,en,0.9658267498016357
32661,57610,,5,"I like this application. I think my English is good, it turns out that my pronunciation is still 70% true, hahaha.","i like this application. i think my english be good, it turn out that my pronunciation be still 70% true, hahaha.","I like this application. I think my English is good, it turns out that my pronunciation is still 70% true, hahaha.",en,0.8694030046463013
32662,57611,,4,good for increasing language even though it is still lacking instructions at the beginning,good for increase language even though it be still lacking instruction at the beginning,good for increasing language even though it is still lacking instructions at the beginning,en,0.9348393678665161
32663,57612,,5,a good app for learning British B immediately give help so that we improve,a good app for learn british b immediately give help so that we improve,a good app for learning British B immediately give help so that we improve,en,0.9476195573806763
32664,57613,,5,"Good, I hope I can speak English smoothly with the help of the INK application","good, i hope i can speak english smoothly with the help of the ink application","Good, I hope I can speak English smoothly with the help of the INK application",en,0.9446719288825989
32665,57614,,5,I am very helped to learn English further,i be very help to learn english far,I am very helped to learn English further,en,0.946063220500946
32666,57615,,3,"Actually it is very good, but unfortunately premium costs are too expensive, so in my opinion for people who really want to learn English well but do not have money can use this application if it is cheaper (better free)","actually it be very good, but unfortunately premium cost be too expensive, so in my opinion for people who really want to learn english well but do not have money can use this application if it be cheap well free","Actually it is very good, but unfortunately premium costs are too expensive, so in my opinion for people who really want to learn English well but do not have money can use this application if it is cheaper (better free)",en,0.96858811378479
32667,57616,,5,crazy apk is good and really helps for those of you who want to learn English just download this apk,crazy apk be good and really help for those of you who want to learn english just download this apk,crazy apk is good and really helps for those of you who want to learn English just download this apk,en,0.9734863638877869
32668,57617,,5,very helpful for speaking in an era that is now more concerned with playing than learning :),very helpful for speak in an era that be now more concerned with play than learn,very helpful for speaking in an era that is now more concerned with playing than learning :),en,0.9908837676048279
32669,57618,,1,bad application. Do you have to premium all? You can't have to be premium. Everything can't open.,bad application. do you have to premium all? you cannot have to be premium. everything cannot open.,bad application. Do you have to premium all? You can't have to be premium. Everything can't open.,en,0.9628615975379944
32670,57619,,5,"I just upgraded my application to premium, I hope this application helps me learn English well 🤗 🥰","i just upgrade my application to premium, i hope this application help me learn english well 🤗 🥰","I just upgraded my application to premium, I hope this application helps me learn English well 🤗🥰",en,0.9350923299789429
32671,57620,,5,"I just downloaded it, hopefully I will be helped to be able to learn English smoothly.","i just download it, hopefully i will be help to be able to learn english smoothly.","I just downloaded it, hopefully I will be helped to be able to learn English smoothly.",en,0.9534339904785156
32672,57621,,5,Really helps to increase pronunciation and speaking skills,really help to increase pronunciation and speaking skill,Really helps to increase pronunciation and speaking skills,en,0.9639214277267456
32673,57622,,5,good application for increasing English skills,good application for increase english skill,good application for increasing English skills,en,0.859719455242157
32674,57623,,4,The application is actually good. just often like slow ..,the application be actually good. just often like slow.,The application is actually good. just often like slow ..,en,0.9847924113273621
32675,57624,,1,"I can't play this application again because I have to premium all the features, you have to premium you can only play around 5-10 lessons if you can't play anymore, you have to premium anyway","i cannot play this application again because i have to premium all the features, you have to premium you can only play around 5-10 lesson if you cannot play anymore, you have to premium anyway","I can't play this application again because I have to premium all the features, you have to premium you can only play around 5-10 lessons if you can't play anymore, you have to premium anyway",en,0.9670760035514832
32676,57625,,1,"I accidentally subscribed and immediately asked for a refund but was not approved alias there was no refund. even though in other applications can !! Please repair the system in the future because it is very detrimental to users who are still lay, can be very trapping !!","i accidentally subscribe and immediately ask for a refund but be not approve alias there be no refund. even though in other application can! please repair the system in the future because it be very detrimental to user who be still lay, can be very trapping!","I accidentally subscribed and immediately asked for a refund but was not approved alias there was no refund. even though in other applications can !! Please repair the system in the future because it is very detrimental to users who are still lay, can be very trapping !!",en,0.9388152360916138
32677,57626,,2,"Receipts of speakers for really awesome speech, even though using other applications that are both for learning can capture my pronunciation without awesome. Seriously feel like a loss like that already subscribed. sob","receipt of speaker for really awesome speech, even though use other application that be both for learning can capture my pronunciation without awesome. seriously feel like a loss like that already subscribed. sob","Receipts of speakers for really awesome speech, even though using other applications that are both for learning can capture my pronunciation without awesome. Seriously feel like a loss like that already subscribed. sob",en,0.9670754075050354
32678,57627,,2,"I bought a pro -year -old subscription before the APK was upgraded but after I was upgraded my subscription was even lost and was told to buy it again, the next bill was the 22nd Feb 2026 and was still connected to my email. Means that my subscription is lost GJLS. please, how do I have a loss","i buy a pro -year -old subscription before the apk be upgrade but after i be upgraded my subscription be even lose and be tell to buy it again, the next bill be the 22nd feb 2026 and be still connect to my email. mean that my subscription be lose gjls. please, how do i have a loss","I bought a pro -year -old subscription before the APK was upgraded but after I was upgraded my subscription was even lost and was told to buy it again, the next bill was the 22nd Feb 2026 and was still connected to my email. Means that my subscription is lost GJLS. please, how do I have a loss",en,0.9598255157470703
32679,57628,,1,"Decreased quality of content and features. Now there are no games, video tutorials, specific capability improvement menus and so on, a lot of content and features are eliminated. Elsa is now only a topic, daily training, chat and content and features are few.","decreased quality of content and features. now there be no games, video tutorials, specific capability improvement menu and so on, a lot of content and feature be eliminated. elsa be now only a topic, daily training, chat and content and feature be few.","Decreased quality of content and features. Now there are no games, video tutorials, specific capability improvement menus and so on, a lot of content and features are eliminated. Elsa is now only a topic, daily training, chat and content and features are few.",en,0.8868988752365112
32680,57629,,5,good application for beginners and intermediates ..,good application for beginner and intermediates.,good application for beginners and intermediates ..,en,0.8831059336662292
32681,57630,,5,The AP is really good for me who is learning English,the ap be really good for me who be learn english,The AP is really good for me who is learning English,en,0.9417925477027893
32682,57631,,5,very helpful in improving English,very helpful in improve english,very helpful in improving English,en,0.9509458541870117
32683,57632,,5,good for learning English anywhere,good for learn english anywhere,good for learning English anywhere,en,0.9258989691734314
32684,57633,,5,good form of English training,good form of english training,good form of English training,en,0.961208701133728
32685,57634,,5,"good, so for speaking in english","good, so for speak in english","good, so for speaking in english",en,0.9647679328918457
32686,57635,,1,"When using it on iOS the application is good, there are no obstacles, I move to Android (Techno) Bug Tus, when the conversation suddenly reconnect or stuck etc., so males studies even though it's already premium, please develop the developer !!!!!!","when use it on io the application be good, there be no obstacles, i move to android techno bug tus, when the conversation suddenly reconnect or stuck etc. , so males study even though it be already premium, please develop the developer!","When using it on iOS the application is good, there are no obstacles, I move to Android (Techno) Bug Tusss, when the conversation suddenly reconnect or stuck etc., so malessss studies even though it's already premium, please develop the developer !!!!!!",en,0.8060708045959473
32687,57636,,1,"My balance just cut off automatically from my fund account without my knowledge and confirmation of payment from me and suddenly the balance decreases. Please instructions for directing my funds, thank you","my balance just cut off automatically from my fund account without my knowledge and confirmation of payment from me and suddenly the balance decreases. please instruction for direct my funds, thank you","My balance just cut off automatically from my fund account without my knowledge and confirmation of payment from me and suddenly the balance decreases. Please instructions for directing my funds, thank you",en,0.8931882381439209
32688,57637,,5,very helpful and easy to use,very helpful and easy to use,very helpful and easy to use,en,0.9765664935112
32689,57638,,4,very helpful for students who are troubled in English so this application is very helpful thanks ☺️,very helpful for student who be trouble in english so this application be very helpful thanks ☺,very helpful for students who are troubled in English so this application is very helpful thanks ☺️,en,0.9449462890625
32690,57639,,3,very petrified beginner learning English,very petrified beginner learn english,very petrified beginner learning English,en,0.9391381740570068
32691,57640,,3,"Please help, I can't log in anymore to the application. I've tried all the ways.","please help, i cannot log in anymore to the application. i have try all the ways.","Please help, I can't log in anymore to the application. I've tried all the ways.",en,0.9676827788352966
32692,57641,,1,"Elsa applications I often slow. Even though the internet connection is normal. As a result, learning is not optimal and a lot of time wastes.","elsa application i often slow. even though the internet connection be normal. as a result, learning be not optimal and a lot of time wastes.","Elsa applications I often slow. Even though the internet connection is normal. As a result, learning is not optimal and a lot of time wastes.",en,0.93179851770401
32693,57642,,4,maybe the upgrade is not too expensive,maybe the upgrade be not too expensive,maybe the upgrade is not too expensive,en,0.9940038919448853
32694,57643,,5,Good is very helpful in the learning stage of beginners,good be very helpful in the learning stage of beginner,Good is very helpful in the learning stage of beginners,en,0.9667186737060547
32695,57644,,5,Very good cool little I can speak English even though there is still something wrong when I speak English 😉,very good cool little i can speak english even though there be still something wrong when i speak english 😉,Very good cool little I can speak English even though there is still something wrong when I speak English 😉,en,0.9679123163223267
32696,57645,,5,Good service from customers and helps to make it easier to learn anywhere and anytime,good service from customer and help to make it easy to learn anywhere and anytime,Good service from customers and helps to make it easier to learn anywhere and anytime,en,0.9741240739822388
32697,57646,,5,This apk is very good for beginners,this apk be very good for beginner,This apk is very good for beginners,en,0.9468770027160645
32698,57647,,5,good and helps me learn English great anyway.,good and help me learn english great anyway.,good and helps me learn English great anyway.,en,0.9591537117958069
32699,57648,,4,So far I have been helped by learning English here,so far i have be help by learn english here,So far I have been helped by learning English here,en,0.9585005640983582
32700,57649,,2,"The application is pretty good. Why do 2 stars because the features must be all premium. Free lessons are only 2/day and even sometimes the application is often heavy bugs like Telkomsel or Shopee. Issued continued when I opened the free lesson that we opened at the beginning could not even though we had not learned at all. If you want free, wait 24 hours. I've tried 3 days like that and then I have been waiting for 24 hours when you opened it again.","the application be pretty good. why do 2 star because the feature must be all premium. free lesson be only 2/day and even sometimes the application be often heavy bug like telkomsel or shopee. issue continue when i open the free lesson that we open at the beginning could not even though we have not learn at all. if you want free, wait 24 hours. i have try 3 day like that and then i have be wait for 24 hour when you open it again.","The application is pretty good. Why do 2 stars because the features must be all premium. Free lessons are only 2/day and even sometimes the application is often heavy bugs like Telkomsel or Shopee. Issued continued when I opened the free lesson that we opened at the beginning could not even though we had not learned at all. If you want free, wait 24 hours. I've tried 3 days like that and then I have been waiting for 24 hours when you opened it again.",en,0.9408313035964966
32701,57650,,5,"good, can learn-learning","good, can learn-learning","good, can learn-learning",en,0.9095426797866821
32702,57651,,1,"The first time I tried it was actually rather strange using all English, there was no translate Indonesian and then when I started entering it, it was going around twice, let's keep repeating twice, and then the first time tried the features, it could only continue to be premium, so I rated 1 and that was a good possibility of rating one too","the first time i try it be actually rather strange use all english, there be no translate indonesian and then when i start enter it, it be go around twice, let u keep repeat twice, and then the first time try the features, it could only continue to be premium, so i rat 1 and that be a good possibility of rating one too","The first time I tried it was actually rather strange using all English, there was no translate Indonesian and then when I started entering it, it was going around twice, let's keep repeating twice, and then the first time tried the features, it could only continue to be premium, so I rated 1 and that was a good possibility of rating one too",en,0.8704969882965088
32703,57652,,3,Can this app translate sentences in the learning set?,can this app translate sentence in the learning set?,Can this app translate sentences in the learning set?,en,0.8323282599449158
32704,57653,,5,Can learn and speaking easily I hope to be able to talk smoothly with the permission of Allah 🤲 ❤️ ❤️ ❤️ ❤️,can learn and speak easily i hope to be able to talk smoothly with the permission of allah 🤲 ❤ ❤ ❤ ❤,Can learn and speaking easily I hope to be able to talk smoothly with the permission of Allah🤲❤️❤️❤️❤️,en,0.9745849967002869
32705,57654,,5,"So far, the Elsa application is the best app for learning English.","so far, the elsa application be the best app for learn english.","So far, the Elsa application is the best app for learning English.",en,0.7086941003799438
32706,57655,,5,Learning is easy and fun,learning be easy and fun,Learning is easy and fun,en,0.7860049605369568
32707,57656,,5,"Good, easy to understand it","good, easy to understand it","Good, easy to understand it",en,0.9498916864395142
32708,57657,,5,"The application is really good, you can learn pronunciation that is really rich, there are games that are also the same as being able to practice speaking with certain themes. Suggestions because there are already he, making a menu can call directly with AI so you can freely speaking without time limits too. Plus there is the correct feedback gram and word menu in each sentence sent. In order to feel speaking directly with people like that. Great Elsa tick","the application be really good, you can learn pronunciation that be really rich, there be game that be also the same as be able to practice speak with certain themes. suggestion because there be already he, make a menu can call directly with ai so you can freely speak without time limit too. plus there be the correct feedback gram and word menu in each sentence sent. in order to feel speak directly with people like that. great elsa tick","The application is really good, you can learn pronunciation that is really rich, there are games that are also the same as being able to practice speaking with certain themes. Suggestions because there are already he, making a menu can call directly with AI so you can freely speaking without time limits too. Plus there is the correct feedback grammm and word menu in each sentence sent. In order to feel speaking directly with people like that. Great Elsa tick",en,0.9591137170791626
32709,57658,,3,"I know that many people/groups want to take advantage of their hard work, but the features provided by Elsa to users who do not pay are very limited and to open the premium features are very high","i know that many people/groups want to take advantage of their hard work, but the feature provide by elsa to user who do not pay be very limited and to open the premium feature be very high","I know that many people/groups want to take advantage of their hard work, but the features provided by Elsa to users who do not pay are very limited and to open the premium features are very high",en,0.9841820001602173
32710,57659,,5,"I don't get it with the composition of the word b english because it is different from the Indonesian language arrangement, hopefully this app can help, from the one who reads the review ""different about this app, no one feels disappointed, it seems that this app can help me in learning English 👍🏻","i do not get it with the composition of the word b english because it be different from the indonesian language arrangement, hopefully this app can help, from the one who read the review ""different about this app, no one feel disappointed, it seem that this app can help me in learn english 👍","I don't get it with the composition of the word b english because it is different from the Indonesian language arrangement, hopefully this app can help, from the one who reads the review ""different about this app, no one feels disappointed, it seems that this app can help me in learning English 👍🏻",en,0.9317703247070312
32711,57660,,1,"Please return my money. I already paid because coincidentally the promo 3 months 250 rb, but my package is not active. The admin says I want to be overtaken but until today there has been no return. Please return my money, I already sent the TF proof but there is no response. I am not a fraudster !!!","please return my money. i already pay because coincidentally the promo 3 month 250 rb, but my package be not active. the admin say i want to be overtake but until today there have be no return. please return my money, i already send the tf proof but there be no response. i be not a fraudster!","Please return my money. I already paid because coincidentally the promo 3 months 250 rb, but my package is not active. The admin says I want to be overtaken but until today there has been no return. Please return my money, I already sent the TF proof but there is no response. I am not a fraudster !!!",en,0.8626938462257385
32712,57661,,5,"This application is cool, you can practice English our skills. Otw take premium","this application be cool, you can practice english our skills. otw take premium","This application is cool, you can practice English our skills. Otw take premium",en,0.8864151835441589
32713,57662,,1,"already bought the premium but canceled because there is a system error in the else, but there is no compensation to the user, the refund until you have to wait 1 month","already buy the premium but cancel because there be a system error in the else, but there be no compensation to the user, the refund until you have to wait 1 month","already bought the premium but canceled because there is a system error in the else, but there is no compensation to the user, the refund until you have to wait 1 month",en,0.9359964728355408
32714,57663,,3,"So far the cellphone is good, hopefully in the future it is still according to expectations","so far the cellphone be good, hopefully in the future it be still accord to expectation","So far the cellphone is good, hopefully in the future it is still according to expectations",en,0.8567742705345154
32715,57664,,5,A very extraordinary application can help learn English alone,a very extraordinary application can help learn english alone,A very extraordinary application can help learn English alone,en,0.9129964113235474
32716,57665,,5,Best English Learning Application My version ... seriously not bo'ong 😘 ✌,best english learning application my version. seriously not boong 😘 ✌,Best English Learning Application My version ... seriously not bo'ong😘✌,en,0.8791172504425049
32717,57666,,4,Good application. Only I sometimes lag and frame. Maybe because the device can also affect. I hope if it can be light for low cellphone specifications. Thank you,good application. only i sometimes lag and frame. maybe because the device can also affect. i hope if it can be light for low cellphone specifications. thank you,Good application. Only I sometimes lag and frame. Maybe because the device can also affect. I hope if it can be light for low cellphone specifications. Thank you,en,0.9245802760124207
32718,57667,,5,very helpful and interesting. I expect the latest development and innovation in the future,very helpful and interesting. i expect the late development and innovation in the future,very helpful and interesting. I expect the latest development and innovation in the future,en,0.9472672939300537
32719,57668,,5,"It's good application, if you want to develop your English speaking. So glad I've found this application very happy to be able to find this application, finally you can find something similar to du*lingo, but the ones for English speaking exercises are smoother. So you can know how to pronounciation correctly, and decorate to speak English because English is not enough","it be good application, if you want to develop your english speaking. so glad i have find this application very happy to be able to find this application, finally you can find something similar to du lingo, but the one for english speaking exercise be smoother. so you can know how to pronounciation correctly, and decorate to speak english because english be not enough","It's good application, if you want to develop your English speaking. So glad I've found this application very happy to be able to find this application, finally you can find something similar to du*lingo, but the ones for English speaking exercises are smoother. So you can know how to pronounciation correctly, and decorate to speak English because English is not enough",en,0.9476200938224792
32720,57669,,5,"Good application. Useful for daily exercise. There is a progress that must be achieved. Various forms of learning. A few months trying that is not paid pretty good & taste the effect. But after trying the paid. Wow, it turns out more features. The more diverse the exercise. Exciting bgt. It is strongly recommended to use a headset, so that the sound is captured well by Ai Elsa.","good application. useful for daily exercise. there be a progress that must be achieved. various form of learning. a few month try that be not pay pretty good & taste the effect. but after try the paid. wow, it turn out more features. the more diverse the exercise. excite bgt. it be strongly recommend to use a headset, so that the sound be capture well by ai elsa.","Good application. Useful for daily exercise. There is a progress that must be achieved. Various forms of learning. A few months trying that is not paid pretty good & taste the effect. But after trying the paid. Wow, it turns out more features. The more diverse the exercise. Exciting bgt. It is strongly recommended to use a headset, so that the sound is captured well by Ai Elsa.",en,0.9242085218429565
32721,57670,,2,I have subscribed for 1 year but how come the application often or can't move or the application goes out alone. please fix it as soon as possible,i have subscribe for 1 year but how come the application often or cannot move or the application go out alone. please fix it as soon as possible,I have subscribed for 1 year but how come the application often or can't move or the application goes out alone. please fix it as soon as possible,en,0.9776598811149597
32722,57671,,1,It's hard to leave the account and all the learning must be premium all that is not free for people who cannot afford,it be hard to leave the account and all the learning must be premium all that be not free for people who cannot afford,It's hard to leave the account and all the learning must be premium all that is not free for people who cannot afford,en,0.9474948048591614
32723,57672,,5,Very helpful for those who want to learn English,very helpful for those who want to learn english,Very helpful for those who want to learn English,en,0.9888450503349304
32724,57673,,5,interesting to learn English feels like there is a partner for talking,interest to learn english feel like there be a partner for talk,interesting to learn English feels like there is a partner for talking,en,0.9671653509140015
32725,57674,,5,How to teach that is very good and easy to follow,how to teach that be very good and easy to follow,How to teach that is very good and easy to follow,en,0.9873673915863037
32726,57675,,4,"For pronunciation training, it is very good, but it would be better if added to the translation feature of the vocabulary to each mother tongue, and registered any vocabulary that has been learned. To be easy to review the lesson again.","for pronunciation training, it be very good, but it would be good if add to the translation feature of the vocabulary to each mother tongue, and register any vocabulary that have be learned. to be easy to review the lesson again.","For pronunciation training, it is very good, but it would be better if added to the translation feature of the vocabulary to each mother tongue, and registered any vocabulary that has been learned. To be easy to review the lesson again.",en,0.9512240886688232
32727,57676,,5,Easy to use and very helpful in learning,easy to use and very helpful in learn,Easy to use and very helpful in learning,en,0.9813032150268555
32728,57677,,4,"Very helpful. But it's better there must be a free mode. And there is also offline mode. The first time I tried, I like it right away. The right way, it's time to chat using English. Every pronunciation word is still wrong immediately correct. Thank you, hopefully in the future it can be even better ..","very helpful. but it be well there must be a free mode. and there be also offline mode. the first time i tried, i like it right away. the right way, it be time to chat use english. every pronunciation word be still wrong immediately correct. thank you, hopefully in the future it can be even better.","Very helpful. But it's better there must be a free mode. And there is also offline mode. The first time I tried, I like it right away. The right way, it's time to chat using English. Every pronunciation word is still wrong immediately correct. Thank you, hopefully in the future it can be even better ..",en,0.9315283298492432
32729,57678,,1,haduhh a lot of bugs yes the application is good but instead goes out alone,haduhh a lot of bug yes the application be good but instead go out alone,haduhh a lot of bugs yes the application is good but instead goes out alone,en,0.7970784306526184
32730,57679,,5,"The application is super duper really good, for those of you who are learning English Apk Elsa Work it really. We will be considered perfect or lack the way we mention the sentence. The pokonya is really good. No minus","the application be super duper really good, for those of you who be learn english apk elsa work it really. we will be consider perfect or lack the way we mention the sentence. the pokonya be really good. no minus","The application is super duper really good, for those of you who are learning English Apk Elsa Work it really. We will be considered perfect or lack the way we mention the sentence. The pokonya is really good. No minus",en,0.9209977984428406
32731,57680,,1,"Sometimes the ai often misinterpret my pronoun, even though when I input the sound on Google or chatgpt the applications can be well understood the words I say. And even more so when the role play often error itself, like 2 free opportunities used even though I only use 1 tablets.","sometimes the ai often misinterpret my pronoun, even though when i input the sound on google or chatgpt the application can be well understood the word i say. and even more so when the role play often error itself, like 2 free opportunity use even though i only use 1 tablets.","Sometimes the ai often misinterpret my pronoun, even though when I input the sound on Google or chatgpt the applications can be well understood the words I say. And even more so when the role play often error itself, like 2 free opportunities used even though I only use 1 tablets.",en,0.8770604729652405
32732,57681,,5,"Recommended really for Klian who want to learn English, this APK is very good and easy to understand but if we want to learn without limited costs we want to learn, we can only learn 5 lessons and wait for 24 hours bru can learn again, even though it is not satisfied only 5 lessons but the APK is very fun to be the spirit of learning, yes it's just like that.","recommend really for klian who want to learn english, this apk be very good and easy to understand but if we want to learn without limited cost we want to learn, we can only learn 5 lesson and wait for 24 hour bru can learn again, even though it be not satisfy only 5 lesson but the apk be very fun to be the spirit of learning, yes it be just like that.","Recommended really for Klian who want to learn English, this APK is very good and easy to understand but if we want to learn without limited costs we want to learn, we can only learn 5 lessons and wait for 24 hours bru can learn again, even though it is not satisfied only 5 lessons but the APK is very fun to be the spirit of learning, yes it's just like that.",en,0.9626041054725647
32733,57683,,2,"There are many versions that have no Indonesian translation anymore in each lesson, can't know the meaning of the word apart from the English itself and can't correct the words that are wrongly disappointed","there be many version that have no indonesian translation anymore in each lesson, cannot know the meaning of the word apart from the english itself and cannot correct the word that be wrongly disappointed","There are many versions that have no Indonesian translation anymore in each lesson, can't know the meaning of the word apart from the English itself and can't correct the words that are wrongly disappointed",en,0.9673380851745605
32734,57684,,1,I give a 1 star because there are too many decreased features please just return to the old version because the current version of many useful features that are honest lost I am disappointed with the update that I now hope that all the features can return to the way it used to be,i give a 1 star because there be too many decreased feature please just return to the old version because the current version of many useful feature that be honest lose i be disappoint with the update that i now hope that all the feature can return to the way it use to be,I give a 1 star because there are too many decreased features please just return to the old version because the current version of many useful features that are honest lost I am disappointed with the update that I now hope that all the features can return to the way it used to be,en,0.915442168712616
32735,57685,,2,if possible a lot of free features,if possible a lot of free feature,if possible a lot of free features,en,0.6449753642082214
32736,57686,,5,"This application is really good, clearly visible improvement in my English reporting ability. Before trying a trial a week. So that's why I chose to buy an Elsa Premium package. Yesterday I experienced problems when I subscribed, a long response. I don't think it was tricked. So be patient, friends if you experience the same thing. The admin has a lot to be rewarded for a long time, almost 24 hours I have been waiting for this good old Ngantri application.","this application be really good, clearly visible improvement in my english reporting ability. before try a trial a week. so that be why i chose to buy an elsa premium package. yesterday i experience problem when i subscribed, a long response. i do not think it be tricked. so be patient, friend if you experience the same thing. the admin have a lot to be reward for a long time, almost 24 hour i have be wait for this good old ngantri application.","This application is really good, clearly visible improvement in my English reporting ability. Before trying a trial a week. So that's why I chose to buy an Elsa Premium package. Yesterday I experienced problems when I subscribed, a long response. I don't think it was tricked. So be patient, friends if you experience the same thing. The admin has a lot to be rewarded for a long time, almost 24 hours I have been waiting for this good old Ngantri application.",en,0.9197806715965271
32737,57687,,2,"Plis initially this app is really good, already 3 months suddenly the error can't calculate the score even though working on the problem is that it will run smoothly, the signal is good, it is the turn of the score, it doesn't even get anything.","plis initially this app be really good, already 3 month suddenly the error cannot calculate the score even though work on the problem be that it will run smoothly, the signal be good, it be the turn of the score, it do not even get anything.","Plis initially this app is really good, already 3 months suddenly the error can't calculate the score even though working on the problem is that it will run smoothly, the signal is good, it is the turn of the score, it doesn't even get anything.",en,0.926672637462616
32738,57688,,5,"Great, I who learned self -taught (only understood what was said) but did not really understand how to speak correctly because in the past only learned from a large and thick dictionary book (at that time there was still no Android) to play games from PS1. I think this is the right application for me to learn, if it is suitable, maybe I will be a subscriber.","great, i who learn self -taught only understand what be say but do not really understand how to speak correctly because in the past only learn from a large and thick dictionary book at that time there be still no android to play game from ps1. i think this be the right application for me to learn, if it be suitable, maybe i will be a subscriber.","Great, I who learned self -taught (only understood what was said) but did not really understand how to speak correctly because in the past only learned from a large and thick dictionary book (at that time there was still no Android) to play games from PS1. I think this is the right application for me to learn, if it is suitable, maybe I will be a subscriber.",en,0.9532816410064697
