index,content,score,clean_content,minimal_content,lang,lang_prob,en_content,star_sentiment,vader_sentiment,vader_score,roberta_sentiment,roberta_confidence,roberta_conf_neg,roberta_conf_neu,roberta_conf_pos
30566,,5,The AP is really good for me who is learning English,the ap be really good for me who be learn english,en,0.9417925477027892,The AP is really good for me who is learning English,positive,positive,0.4927,positive,0.951895,0.004658336,0.0434467,0.951895
30567,,5,very helpful in improving English,very helpful in improve english,en,0.9509458541870116,very helpful in improving English,positive,positive,0.7397,positive,0.9382604,0.0101363,0.051603355,0.9382604
30568,,5,good for learning English anywhere,good for learn english anywhere,en,0.9258989691734314,good for learning English anywhere,positive,positive,0.4404,positive,0.8357573,0.01019488,0.1540478,0.8357573
30569,,5,good form of English training,good form of english training,en,0.961208701133728,good form of English training,positive,positive,0.4404,neutral,0.38486838,0.017977236,0.38486838,0.5971544
30570,,5,"good, so for speaking in english","good, so for speak in english",en,0.9647679328918456,"good, so for speaking in english",positive,positive,0.4404,positive,0.8931617,0.008099775,0.098738484,0.8931617
30571,,1,"When using it on iOS the application is good, there are no obstacles, I move to Android (Techno) Bug Tus, when the conversation suddenly reconnect or stuck etc., so males studies even though it's already premium, please develop the developer !!!!!!","when use it on io the application be good, there be no obstacles, i move to android techno bug tus, when the conversation suddenly reconnect or stuck etc. , so males study even though it be already premium, please develop the developer!",en,0.8060708045959473,"When using it on iOS the application is good, there are no obstacles, I move to Android (Techno) Bug Tusss, when the conversation suddenly reconnect or stuck etc., so malessss studies even though it's already premium, please develop the developer !!!!!!",negative,negative,-0.2244,positive,0.7780902,0.034022536,0.18788731,0.7780902
30572,,1,"My balance just cut off automatically from my fund account without my knowledge and confirmation of payment from me and suddenly the balance decreases. Please instructions for directing my funds, thank you","my balance just cut off automatically from my fund account without my knowledge and confirmation of payment from me and suddenly the balance decreases. please instruction for direct my funds, thank you",en,0.8931882381439209,"My balance just cut off automatically from my fund account without my knowledge and confirmation of payment from me and suddenly the balance decreases. Please instructions for directing my funds, thank you",negative,positive,0.4019,negative,0.79809475,0.79809475,0.19262154,0.009283674
30573,,5,very helpful and easy to use,very helpful and easy to use,en,0.9765664935112,very helpful and easy to use,positive,positive,0.7397,positive,0.96388376,0.008557655,0.027558606,0.96388376
30574,,4,very helpful for students who are troubled in English so this application is very helpful thanks ☺️,very helpful for student who be trouble in english so this application be very helpful thanks ☺,en,0.9449462890625,very helpful for students who are troubled in English so this application is very helpful thanks ☺️,neutral,positive,0.7694,positive,0.94969493,0.006573252,0.043731842,0.94969493
30575,,3,very petrified beginner learning English,very petrified beginner learn english,en,0.9391381740570068,very petrified beginner learning English,neutral,negative,-0.5849,negative,0.89408726,0.89408726,0.095465936,0.010446799
30576,,3,"Please help, I can't log in anymore to the application. I've tried all the ways.","please help, i cannot log in anymore to the application. i have try all the ways.",en,0.9676827788352966,"Please help, I can't log in anymore to the application. I've tried all the ways.",neutral,positive,0.6124,negative,0.7937234,0.7937234,0.19107266,0.015203901
30577,,1,"Elsa applications I often slow. Even though the internet connection is normal. As a result, learning is not optimal and a lot of time wastes.","elsa application i often slow. even though the internet connection be normal. as a result, learning be not optimal and a lot of time wastes.",en,0.93179851770401,"Elsa applications I often slow. Even though the internet connection is normal. As a result, learning is not optimal and a lot of time wastes.",negative,negative,-0.2755,negative,0.9165992,0.9165992,0.07511775,0.00828298
30578,,4,maybe the upgrade is not too expensive,maybe the upgrade be not too expensive,en,0.9940038919448853,maybe the upgrade is not too expensive,neutral,neutral,0.0,neutral,0.703213,0.05789108,0.703213,0.23889594
30579,,5,Good is very helpful in the learning stage of beginners,good be very helpful in the learning stage of beginner,en,0.9667186737060548,Good is very helpful in the learning stage of beginners,positive,positive,0.7178,positive,0.89952844,0.0077594644,0.09271211,0.89952844
30580,,5,Very good cool little I can speak English even though there is still something wrong when I speak English 😉,very good cool little i can speak english even though there be still something wrong when i speak english 😉,en,0.9679123163223268,Very good cool little I can speak English even though there is still something wrong when I speak English 😉,positive,positive,0.3962,positive,0.90025765,0.01640078,0.083341524,0.90025765
30581,,5,Good service from customers and helps to make it easier to learn anywhere and anytime,good service from customer and help to make it easy to learn anywhere and anytime,en,0.9741240739822388,Good service from customers and helps to make it easier to learn anywhere and anytime,positive,positive,0.8176,positive,0.95111793,0.0056949095,0.043187194,0.95111793
30582,,5,This apk is very good for beginners,this apk be very good for beginner,en,0.9468770027160645,This apk is very good for beginners,positive,positive,0.4927,positive,0.9503659,0.0049779676,0.044656094,0.9503659
30583,,5,good and helps me learn English great anyway.,good and help me learn english great anyway.,en,0.9591537117958068,good and helps me learn English great anyway.,positive,positive,0.8658,positive,0.94969594,0.004914666,0.045389377,0.94969594
30584,,4,So far I have been helped by learning English here,so far i have be help by learn english here,en,0.9585005640983582,So far I have been helped by learning English here,neutral,positive,0.4019,neutral,0.6140487,0.020814255,0.6140487,0.36513704
30585,,2,"The application is pretty good. Why do 2 stars because the features must be all premium. Free lessons are only 2/day and even sometimes the application is often heavy bugs like Telkomsel or Shopee. Issued continued when I opened the free lesson that we opened at the beginning could not even though we had not learned at all. If you want free, wait 24 hours. I've tried 3 days like that and then I have been waiting for 24 hours when you opened it again.","the application be pretty good. why do 2 star because the feature must be all premium. free lesson be only 2/day and even sometimes the application be often heavy bug like telkomsel or shopee. issue continue when i open the free lesson that we open at the beginning could not even though we have not learn at all. if you want free, wait 24 hours. i have try 3 day like that and then i have be wait for 24 hour when you open it again.",en,0.9408313035964966,"The application is pretty good. Why do 2 stars because the features must be all premium. Free lessons are only 2/day and even sometimes the application is often heavy bugs like Telkomsel or Shopee. Issued continued when I opened the free lesson that we opened at the beginning could not even though we had not learned at all. If you want free, wait 24 hours. I've tried 3 days like that and then I have been waiting for 24 hours when you opened it again.",negative,positive,0.9652,neutral,0.3725057,0.08709063,0.3725057,0.54040366
30586,,5,"good, can learn-learning","good, can learn-learning",en,0.909542679786682,"good, can learn-learning",positive,positive,0.4404,positive,0.8474758,0.008922155,0.14360204,0.8474758
30587,,1,"The first time I tried it was actually rather strange using all English, there was no translate Indonesian and then when I started entering it, it was going around twice, let's keep repeating twice, and then the first time tried the features, it could only continue to be premium, so I rated 1 and that was a good possibility of rating one too","the first time i try it be actually rather strange use all english, there be no translate indonesian and then when i start enter it, it be go around twice, let u keep repeat twice, and then the first time try the features, it could only continue to be premium, so i rat 1 and that be a good possibility of rating one too",en,0.8704969882965088,"The first time I tried it was actually rather strange using all English, there was no translate Indonesian and then when I started entering it, it was going around twice, let's keep repeating twice, and then the first time tried the features, it could only continue to be premium, so I rated 1 and that was a good possibility of rating one too",negative,neutral,-0.0258,neutral,0.5173832,0.4140018,0.5173832,0.06861507
30588,,3,Can this app translate sentences in the learning set?,can this app translate sentence in the learning set?,en,0.8323282599449158,Can this app translate sentences in the learning set?,neutral,neutral,0.0772,neutral,0.9283823,0.02549634,0.9283823,0.046121325
30589,,5,Can learn and speaking easily I hope to be able to talk smoothly with the permission of Allah 🤲 ❤️ ❤️ ❤️ ❤️,can learn and speak easily i hope to be able to talk smoothly with the permission of allah 🤲 ❤ ❤ ❤ ❤,en,0.9745849967002868,Can learn and speaking easily I hope to be able to talk smoothly with the permission of Allah🤲❤️❤️❤️❤️,positive,positive,0.6486,positive,0.9456637,0.0037696846,0.050566655,0.9456637
30590,,5,"So far, the Elsa application is the best app for learning English.","so far, the elsa application be the best app for learn english.",en,0.7086941003799438,"So far, the Elsa application is the best app for learning English.",positive,positive,0.6369,positive,0.9686744,0.002729209,0.028596401,0.9686744
30591,,5,Learning is easy and fun,learning be easy and fun,en,0.7860049605369568,Learning is easy and fun,positive,positive,0.7351,positive,0.7861833,0.023208184,0.19060852,0.7861833
30592,,5,"Good, easy to understand it","good, easy to understand it",en,0.9498916864395142,"Good, easy to understand it",positive,positive,0.7003,positive,0.8277571,0.016761757,0.1554811,0.8277571
30593,,5,"The application is really good, you can learn pronunciation that is really rich, there are games that are also the same as being able to practice speaking with certain themes. Suggestions because there are already he, making a menu can call directly with AI so you can freely speaking without time limits too. Plus there is the correct feedback gram and word menu in each sentence sent. In order to feel speaking directly with people like that. Great Elsa tick","the application be really good, you can learn pronunciation that be really rich, there be game that be also the same as be able to practice speak with certain themes. suggestion because there be already he, make a menu can call directly with ai so you can freely speak without time limit too. plus there be the correct feedback gram and word menu in each sentence sent. in order to feel speak directly with people like that. great elsa tick",en,0.9591137170791626,"The application is really good, you can learn pronunciation that is really rich, there are games that are also the same as being able to practice speaking with certain themes. Suggestions because there are already he, making a menu can call directly with AI so you can freely speaking without time limits too. Plus there is the correct feedback grammm and word menu in each sentence sent. In order to feel speaking directly with people like that. Great Elsa tick",positive,positive,0.9598,positive,0.92848843,0.0055425316,0.06596903,0.92848843
30594,,3,"I know that many people/groups want to take advantage of their hard work, but the features provided by Elsa to users who do not pay are very limited and to open the premium features are very high","i know that many people/groups want to take advantage of their hard work, but the feature provide by elsa to user who do not pay be very limited and to open the premium feature be very high",en,0.9841820001602172,"I know that many people/groups want to take advantage of their hard work, but the features provided by Elsa to users who do not pay are very limited and to open the premium features are very high",neutral,negative,-0.2253,neutral,0.57624954,0.31469417,0.57624954,0.10905626
30595,,5,"I don't get it with the composition of the word b english because it is different from the Indonesian language arrangement, hopefully this app can help, from the one who reads the review ""different about this app, no one feels disappointed, it seems that this app can help me in learning English 👍🏻","i do not get it with the composition of the word b english because it be different from the indonesian language arrangement, hopefully this app can help, from the one who read the review ""different about this app, no one feel disappointed, it seem that this app can help me in learn english 👍",en,0.9317703247070312,"I don't get it with the composition of the word b english because it is different from the Indonesian language arrangement, hopefully this app can help, from the one who reads the review ""different about this app, no one feels disappointed, it seems that this app can help me in learning English 👍🏻",positive,positive,0.4215,neutral,0.40281442,0.42039567,0.40281442,0.17678991
30596,,1,"Please return my money. I already paid because coincidentally the promo 3 months 250 rb, but my package is not active. The admin says I want to be overtaken but until today there has been no return. Please return my money, I already sent the TF proof but there is no response. I am not a fraudster !!!","please return my money. i already pay because coincidentally the promo 3 month 250 rb, but my package be not active. the admin say i want to be overtake but until today there have be no return. please return my money, i already send the tf proof but there be no response. i be not a fraudster!",en,0.8626938462257385,"Please return my money. I already paid because coincidentally the promo 3 months 250 rb, but my package is not active. The admin says I want to be overtaken but until today there has been no return. Please return my money, I already sent the TF proof but there is no response. I am not a fraudster !!!",negative,neutral,0.1103,negative,0.77161556,0.77161556,0.209997,0.018387366
30597,,5,"This application is cool, you can practice English our skills. Otw take premium","this application be cool, you can practice english our skills. otw take premium",en,0.8864151835441589,"This application is cool, you can practice English our skills. Otw take premium",positive,positive,0.3182,positive,0.96226835,0.0028129108,0.03491879,0.96226835
30598,,1,"already bought the premium but canceled because there is a system error in the else, but there is no compensation to the user, the refund until you have to wait 1 month","already buy the premium but cancel because there be a system error in the else, but there be no compensation to the user, the refund until you have to wait 1 month",en,0.9359964728355408,"already bought the premium but canceled because there is a system error in the else, but there is no compensation to the user, the refund until you have to wait 1 month",negative,negative,-0.8338,negative,0.7606231,0.7606231,0.22949606,0.009880843
30599,,3,"So far the cellphone is good, hopefully in the future it is still according to expectations","so far the cellphone be good, hopefully in the future it be still accord to expectation",en,0.8567742705345154,"So far the cellphone is good, hopefully in the future it is still according to expectations",neutral,positive,0.6808,positive,0.9555099,0.0077467407,0.036743313,0.9555099
30600,,5,A very extraordinary application can help learn English alone,a very extraordinary application can help learn english alone,en,0.9129964113235474,A very extraordinary application can help learn English alone,positive,neutral,0.1779,positive,0.9386274,0.0046174424,0.056755178,0.9386274
30601,,5,Best English Learning Application My version ... seriously not bo'ong 😘 ✌,best english learning application my version. seriously not boong 😘 ✌,en,0.8791172504425049,Best English Learning Application My version ... seriously not bo'ong😘✌,positive,positive,0.5423,positive,0.9712433,0.0057814345,0.022975242,0.9712433
30602,,4,Good application. Only I sometimes lag and frame. Maybe because the device can also affect. I hope if it can be light for low cellphone specifications. Thank you,good application. only i sometimes lag and frame. maybe because the device can also affect. i hope if it can be light for low cellphone specifications. thank you,en,0.9245802760124208,Good application. Only I sometimes lag and frame. Maybe because the device can also affect. I hope if it can be light for low cellphone specifications. Thank you,neutral,positive,0.5859,neutral,0.3516603,0.07954903,0.3516603,0.5687906
30603,,5,very helpful and interesting. I expect the latest development and innovation in the future,very helpful and interesting. i expect the late development and innovation in the future,en,0.9472672939300536,very helpful and interesting. I expect the latest development and innovation in the future,positive,positive,0.8251,positive,0.9794088,0.0040914672,0.016499687,0.9794088
30604,,5,"It's good application, if you want to develop your English speaking. So glad I've found this application very happy to be able to find this application, finally you can find something similar to du*lingo, but the ones for English speaking exercises are smoother. So you can know how to pronounciation correctly, and decorate to speak English because English is not enough","it be good application, if you want to develop your english speaking. so glad i have find this application very happy to be able to find this application, finally you can find something similar to du lingo, but the one for english speaking exercise be smoother. so you can know how to pronounciation correctly, and decorate to speak english because english be not enough",en,0.9476200938224792,"It's good application, if you want to develop your English speaking. So glad I've found this application very happy to be able to find this application, finally you can find something similar to du*lingo, but the ones for English speaking exercises are smoother. So you can know how to pronounciation correctly, and decorate to speak English because English is not enough",positive,positive,0.721,positive,0.96472687,0.0050833607,0.030189788,0.96472687
30605,,5,"Good application. Useful for daily exercise. There is a progress that must be achieved. Various forms of learning. A few months trying that is not paid pretty good & taste the effect. But after trying the paid. Wow, it turns out more features. The more diverse the exercise. Exciting bgt. It is strongly recommended to use a headset, so that the sound is captured well by Ai Elsa.","good application. useful for daily exercise. there be a progress that must be achieved. various form of learning. a few month try that be not pay pretty good & taste the effect. but after try the paid. wow, it turn out more features. the more diverse the exercise. excite bgt. it be strongly recommend to use a headset, so that the sound be capture well by ai elsa.",en,0.9242085218429564,"Good application. Useful for daily exercise. There is a progress that must be achieved. Various forms of learning. A few months trying that is not paid pretty good & taste the effect. But after trying the paid. Wow, it turns out more features. The more diverse the exercise. Exciting bgt. It is strongly recommended to use a headset, so that the sound is captured well by Ai Elsa.",positive,positive,0.9719,positive,0.9343939,0.0075023146,0.05810377,0.9343939
30606,,2,I have subscribed for 1 year but how come the application often or can't move or the application goes out alone. please fix it as soon as possible,i have subscribe for 1 year but how come the application often or cannot move or the application go out alone. please fix it as soon as possible,en,0.9776598811149596,I have subscribed for 1 year but how come the application often or can't move or the application goes out alone. please fix it as soon as possible,negative,neutral,0.1154,negative,0.8175503,0.8175503,0.16758956,0.014860126
30607,,1,It's hard to leave the account and all the learning must be premium all that is not free for people who cannot afford,it be hard to leave the account and all the learning must be premium all that be not free for people who cannot afford,en,0.9474948048591614,It's hard to leave the account and all the learning must be premium all that is not free for people who cannot afford,negative,negative,-0.5109,negative,0.7261654,0.7261654,0.25821793,0.015616645
30608,,5,Very helpful for those who want to learn English,very helpful for those who want to learn english,en,0.9888450503349304,Very helpful for those who want to learn English,positive,positive,0.5256,positive,0.93700534,0.0040088617,0.058985725,0.93700534
30609,,5,interesting to learn English feels like there is a partner for talking,interest to learn english feel like there be a partner for talk,en,0.9671653509140016,interesting to learn English feels like there is a partner for talking,positive,positive,0.6705,neutral,0.58239037,0.030798417,0.58239037,0.38681123
30610,,5,How to teach that is very good and easy to follow,how to teach that be very good and easy to follow,en,0.9873673915863036,How to teach that is very good and easy to follow,positive,positive,0.7474,positive,0.89213395,0.008687426,0.09917866,0.89213395
