level_0,index,content,score,clean_content,minimal_content,en_content,lang,lang_prob
35971,64008,,1,"Why am I deducted 1 million. I Lost 1,900,000 VND. Is there any way to contact the app’s support team?","why be i deduct 1 million. i lose 1, 900, 000 vnd. be there any way to contact the app s support team?","Why am I deducted 1 million. I Lost 1,900,000 VND. Is there any way to contact the app’s support team?",en,0.8037621974945068
35972,64009,,1,"HC DC is exactly 1 post XG, registered via GG or FB XG, select the link method, then it requires the premium ms package for the second lesson.","hc dc be exactly 1 post xg, register via gg or fb xg, select the link method, then it require the premium m package for the second lesson.","HC DC is exactly 1 post XG, registered via GG or FB XG, select the link method, then it requires the premium ms package for the second lesson.",en,0.6333499550819397
35973,64010,,4,"The Playback volume of my own pronunciation is to low. I would like to listen again to check whether my pronunciation is correct, but it is different for. Could Elsa Please Improve this feature?","the playback volume of my own pronunciation be to low. i would like to listen again to check whether my pronunciation be correct, but it be different for. could elsa please improve this feature?","The Playback volume of my own pronunciation is to low. I would like to listen again to check whether my pronunciation is correct, but it is different for. Could Elsa Please Improve this feature?",en,0.9191012382507324
35974,64011,,2,"Reading several times, I was still told that I read it small and told me to read loudly and always shouted at the phone","read several times, i be still tell that i read it small and tell me to read loudly and always shout at the phone","Reading several times, I was still told that I read it small and told me to read loudly and always shouted at the phone",en,0.9863312244415283
35975,64012,,2,"The sound is clear but the operation is difficult, quite annoying.","the sound be clear but the operation be difficult, quite annoying.","The sound is clear but the operation is difficult, quite annoying.",en,0.936319887638092
35976,64013,,1,Buy a lifetime card but currently cannot be used.,buy a lifetime card but currently cannot be used.,Buy a lifetime card but currently cannot be used.,en,0.9878164529800415
35977,64014,,1,App as if it were pulse 1 star,app as if it be pulse 1 star,App as if it were pulse 1 star,en,0.9193351864814758
35978,64015,,5,I really like this application thanks to the application I have made a lot of progress,i really like this application thank to the application i have make a lot of progress,I really like this application thanks to the application I have made a lot of progress,en,0.965154767036438
35979,64016,,1,The application is too difficult to learn,the application be too difficult to learn,The application is too difficult to learn,en,0.962617814540863
35982,64020,,5,Have fun learning,have fun learn,Have fun learning,en,0.9824060797691345
35984,64027,,5,Please vl,please vl,Please vl,en,0.7812631726264954
35985,64028,,1,Or released and applied. Spending money to buy Premium version is really a fee when studying a little bit and out.,or release and applied. spending money to buy premium version be really a fee when study a little bit and out.,Or released and applied. Spending money to buy Premium version is really a fee when studying a little bit and out.,en,0.9686498641967773
35986,64029,,2,There is a trial that does not open full for users. How to know how the app to buy. The first trial was uncomfortable.,there be a trial that do not open full for users. how to know how the app to buy. the first trial be uncomfortable.,There is a trial that does not open full for users. How to know how the app to buy. The first trial was uncomfortable.,en,0.9605593085289001
35987,64030,,1,"App self -register to subtract money while customers do not click on registration. What do you think, customers are also hungry and why do that? Refund for me, I'm poor","app self -register to subtract money while customer do not click on registration. what do you think, customer be also hungry and why do that? refund for me, i be poor","App self -register to subtract money while customers do not click on registration. What do you think, customers are also hungry and why do that? Refund for me, I'm poor",en,0.9102827310562134
35988,64031,,2,"New updates make the lag, jerk, delay application. Good network speed but the application does not take advantage.","new update make the lag, jerk, delay application. good network speed but the application do not take advantage.","New updates make the lag, jerk, delay application. Good network speed but the application does not take advantage.",en,0.8078926205635071
35989,64032,,1,"Say j and listen to z, Neighbourhood phonetic is wrong compared to the Cambridge dictionary, Oxford","say j and listen to z, neighbourhood phonetic be wrong compare to the cambridge dictionary, oxford","Say j and listen to z, Neighbourhood phonetic is wrong compared to the Cambridge dictionary, Oxford",en,0.8429189920425415
35990,64033,,1,"Lag learning software, using another machine still has the app that is not pressed many times","lag learn software, use another machine still have the app that be not press many time","Lag learning software, using another machine still has the app that is not pressed many times",en,0.9128705859184265
35991,64034,,3,"The voice recognition is quite poor, the application is quite shocked and sometimes frozen","the voice recognition be quite poor, the application be quite shocked and sometimes freeze","The voice recognition is quite poor, the application is quite shocked and sometimes frozen",en,0.934561550617218
35992,64035,,4,From the gym read. It reported that it was too noisy to read forever,from the gym read. it report that it be too noisy to read forever,From the gym read. It reported that it was too noisy to read forever,en,0.9557167291641235
35993,64036,,4,"Basic roadmap, lesson 104 cannot be downloaded","basic roadmap, lesson 104 cannot be download","Basic roadmap, lesson 104 cannot be downloaded",en,0.8712827563285828
35994,64037,,3,The app has a lot of errors and is constantly frozen,the app have a lot of error and be constantly frozen,The app has a lot of errors and is constantly frozen,en,0.9765807390213013
35995,64038,,4,OK but not free,ok but not free,OK but not free,en,0.928391695022583
35996,64039,,1,When CX does not connect to the network,when cx do not connect to the network,When CX does not connect to the network,en,0.8145563006401062
35997,64040,,5,Very good tutor easy,very good tutor easy,Very good tutor easy,en,0.8621780872344971
35998,64041,,1,The word is too small,the word be too small,The word is too small,en,0.8319587111473083
35999,64043,,5,Please download VCL,please download vcl,Please download VCL,en,0.8314449191093445
36000,64044,,1,very boring,very boring,very boring,en,0.9946701526641846
36001,64051,,1,"In some way, despite canceling payment in Google Play before the due date and still deducted money.","in some way, despite cancel payment in google play before the due date and still deduct money.","In some way, despite canceling payment in Google Play before the due date and still deducted money.",en,0.9723833799362183
36002,64052,,2,"To be honest, the app learning English is quite ok, but I really experience the error (for me)","to be honest, the app learn english be quite ok, but i really experience the error for me","To be honest, the app learning English is quite ok, but I really experience the error (for me)",en,0.912161648273468
36003,64053,,2,"Elsa Ai has been so slow these days, after finishing a long time, a few minutes to respond","elsa ai have be so slow these days, after finish a long time, a few minute to respond","Elsa Ai has been so slow these days, after finishing a long time, a few minutes to respond",en,0.9464141726493835
36004,64054,,1,App still has too much disappointment to add Vietnamese and teachers like real people,app still have too much disappointment to add vietnamese and teacher like real people,App still has too much disappointment to add Vietnamese and teachers like real people,en,0.9808635115623474
36005,64055,,1,"I couldn't read it forever, so that he could not read it, only his father could read it","i could not read it forever, so that he could not read it, only his father could read it","I couldn't read it forever, so that he could not read it, only his father could read it",en,0.9983076453208923
36006,64056,,2,I want to delete an account but the application does not allow to delete it?,i want to delete an account but the application do not allow to delete it?,I want to delete an account but the application does not allow to delete it?,en,0.9920967221260071
36007,64057,,1,"App like buoi, lag instead of me always","app like buoi, lag instead of me always","App like buoi, lag instead of me always",en,0.8154974579811096
36008,64058,,3,Wait too long to learn.,wait too long to learn.,Wait too long to learn.,en,0.9265558123588562
36009,64059,,5,"Study is very fun, but a little lag","study be very fun, but a little lag","Study is very fun, but a little lag",en,0.9393143653869629
36010,64065,,3,Today I cannot log in after updating the application.,today i cannot log in after update the application.,Today I cannot log in after updating the application.,en,0.9287569522857666
36012,64067,,2,"My wife uses Premium the old version to see well. It was my turn to buy Premium package for a lifetime on the new village. First: Self -recording software when starting a face lesson even though I have not clicked on the microphone. Monday: The pronunciation analysis part is how leprosy it is. Do not know who is standard yet. Tuesday: Whoever creates a learning route does not seem very standard, learns very inhibited, sometimes the lesson is very difficult, reading very quickly, many words cannot hear. I studied in parallel with Duolingo, I found Duolingo more fun. Elsa is bored.","my wife use premium the old version to see well. it be my turn to buy premium package for a lifetime on the new village. first self -recording software when start a face lesson even though i have not click on the microphone. monday the pronunciation analysis part be how leprosy it is. do not know who be standard yet. tuesday whoever create a learning route do not seem very standard, learns very inhibited, sometimes the lesson be very difficult, read very quickly, many word cannot hear. i study in parallel with duolingo, i find duolingo more fun. elsa be bored.","My wife uses Premium the old version to see well. It was my turn to buy Premium package for a lifetime on the new village. First: Self -recording software when starting a face lesson even though I have not clicked on the microphone. Monday: The pronunciation analysis part is how leprosy it is. Do not know who is standard yet. Tuesday: Whoever creates a learning route does not seem very standard, learns very inhibited, sometimes the lesson is very difficult, reading very quickly, many words cannot hear. I studied in parallel with Duolingo, I found Duolingo more fun. Elsa is bored.",en,0.9202561974525452
36013,64068,,2,Roleplay loads the sentence for a long time. Although the network is normal. Probably due to the leper app,roleplay load the sentence for a long time. although the network be normal. probably due to the leper app,Roleplay loads the sentence for a long time. Although the network is normal. Probably due to the leper app,en,0.8680000901222229
36014,64069,,1,Because I have read my mouth and just catch it while I read it correctly,because i have read my mouth and just catch it while i read it correctly,Because I have read my mouth and just catch it while I read it correctly,en,0.9409021735191345
36015,64070,,4,"Sometimes errors, the machine does not read but escapes in and out. Looking forward to fixing errors soon","sometimes errors, the machine do not read but escape in and out. look forward to fix error soon","Sometimes errors, the machine does not read but escapes in and out. Looking forward to fixing errors soon",en,0.916554868221283
36016,64071,,3,"Error of sound, in listening, sometimes not!","error of sound, in listening, sometimes not!","Error of sound, in listening, sometimes not!",en,0.8226059675216675
36017,64072,,5,I think this application is also quite good but it takes a lot of money on a number of modules that I want to study hope that the publisher can hear this idea.,i think this application be also quite good but it take a lot of money on a number of module that i want to study hope that the publisher can hear this idea.,I think this application is also quite good but it takes a lot of money on a number of modules that I want to study hope that the publisher can hear this idea.,en,0.9725773334503174
36018,64073,,4,Very good but sometimes read it correctly and then read it again,very good but sometimes read it correctly and then read it again,Very good but sometimes read it correctly and then read it again,en,0.960394561290741
36019,64074,,1,"Everything requires loading, loading","everything require loading, load","Everything requires loading, loading",en,0.6600804328918457
36020,64075,,3,The speed of reading the paragraph is too fast,the speed of read the paragraph be too fast,The speed of reading the paragraph is too fast,en,0.9082581996917725
36024,64081,,2,"Buy 1 year Pre package, then update the package. How to get it back. Looking forward to receiving feedback.","buy 1 year pre package, then update the package. how to get it back. look forward to receive feedback.","Buy 1 year Pre package, then update the package. How to get it back. Looking forward to receiving feedback.",en,0.9414591193199158
36025,64082,,4,Hopefully all the words to practice reading or listening practice will be translated into the mother's voice to give birth more.,hopefully all the word to practice reading or listen practice will be translate into the mother voice to give birth more.,Hopefully all the words to practice reading or listening practice will be translated into the mother's voice to give birth more.,en,0.9003027081489563
36026,64083,,4,"App on Android is faulty, I cannot press the speaker icon to hear the pronunciation feedback, or log out. Thanks to the team fix the error","app on android be faulty, i cannot press the speaker icon to hear the pronunciation feedback, or log out. thanks to the team fix the error","App on Android is faulty, I cannot press the speaker icon to hear the pronunciation feedback, or log out. Thanks to the team fix the error",en,0.8316870331764221
36027,64084,,5,"Return the old Elsa to us. Hope Elsa can hear and adjust, the new version is too boring. The best one -of -the -counter analysis feature is removed ...","return the old elsa to us. hope elsa can hear and adjust, the new version be too boring. the best one -of -the -counter analysis feature be removed.","Return the old Elsa to us. Hope Elsa can hear and adjust, the new version is too boring. The best one -of -the -counter analysis feature is removed ...",en,0.8530263900756836
36028,64085,,4,I use this application and find it very ok,i use this application and find it very ok,I use this application and find it very ok,en,0.9656204581260681
36029,64086,,3,A lot of QC applications,a lot of qc application,A lot of QC applications,en,0.9559563398361206
36030,64087,,1,Bad experience about the Pro package,bad experience about the pro package,Bad experience about the Pro package,en,0.7954168915748596
36031,64088,,1,My computer was shocked continuously,my computer be shock continuously,My computer was shocked continuously,en,0.9611862301826477
36032,64089,,5,Good app can be translated but also suggested,good app can be translate but also suggest,Good app can be translated but also suggested,en,0.9546837210655212
36033,64090,,5,Very top,very top,Very top,en,0.9921993017196655
36034,64095,,1,"After the update, it was faulty, out of the chain lost, vl","after the update, it be faulty, out of the chain lost, vl","After the update, it was faulty, out of the chain lost, vl",en,0.8132493495941162
36035,64096,,1,AP is often strabismus. Learning that boring. There is no bilingual part,ap be often strabismus. learn that boring. there be no bilingual part,AP is often strabismus. Learning that boring. There is no bilingual part,en,0.8255763053894043
36036,64097,,1,Reading so many times is still wrong,read so many time be still wrong,Reading so many times is still wrong,en,0.978531539440155
36037,64098,,1,Reading does not count,reading do not count,Reading does not count,en,0.7381160259246826
36038,64099,,4,K likes,k like,K likes,en,0.9563284516334534
36039,64100,,1,"Before I packed 1 year because the old interface was easy to learn, the new update time was very boring.","before i pack 1 year because the old interface be easy to learn, the new update time be very boring.","Before I packed 1 year because the old interface was easy to learn, the new update time was very boring.",en,0.8552596569061279
36040,64101,,2,"After studying for a while, I started to hear, the app could not hear what I said, I could not press the keyboard, while the lesson was about to be over again, it was very time to escape","after study for a while, i start to hear, the app could not hear what i said, i could not press the keyboard, while the lesson be about to be over again, it be very time to escape","After studying for a while, I started to hear, the app could not hear what I said, I could not press the keyboard, while the lesson was about to be over again, it was very time to escape",en,0.9631840586662292
36041,64102,,2,"In the past, I bought unlimited accounts, now added the development of anyone naturally to limit the number of lessons. If you are limited to the school, who is the only part. The off post must let the user comfortable to use according to the original rights","in the past, i buy unlimited accounts, now add the development of anyone naturally to limit the number of lessons. if you be limit to the school, who be the only part. the off post must let the user comfortable to use accord to the original right","In the past, I bought unlimited accounts, now added the development of anyone naturally to limit the number of lessons. If you are limited to the school, who is the only part. The off post must let the user comfortable to use according to the original rights",en,0.9148541688919067
36042,64103,,3,"I don't understand how the app says, but I put the soft oxford software that only reaches 85% and only has a mistake :))","i do not understand how the app says, but i put the soft oxford software that only reach 85% and only have a mistake","I don't understand how the app says, but I put the soft oxford software that only reaches 85% and only has a mistake :))",en,0.9513975381851196
36043,64104,,1,"Disappointed, in the past, I bought a test and found the app ok ... but I remember the old time I did not pay for free, I still used a few functions, now the app is strange, the CX style is free to use it for free..xo application .. But actually the old version used very well ...","disappointed, in the past, i buy a test and find the app ok. but i remember the old time i do not pay for free, i still use a few functions, now the app be strange, the cx style be free to use it for free. xo application. but actually the old version use very well.","Disappointed, in the past, I bought a test and found the app ok ... but I remember the old time I did not pay for free, I still used a few functions, now the app is strange, the CX style is free to use it for free..xo application .. But actually the old version used very well ...",en,0.9173922538757324
36044,64105,,1,"I used the free version of this app last year and the old version was much better than the new version now. The old version is free but still features Mock Test IELTS Speaking. It analyzes Pronunciation, Intonation, Fluency very well and also gives specific details every detail. This year I used the app again, I hastily registered Premium because I thought it still had the Mock Test as before. But it doesn't have, it can only read the transcript I say, not my voice! 😡 😡","i use the free version of this app last year and the old version be much good than the new version now. the old version be free but still feature mock test ielts speaking. it analyze pronunciation, intonation, fluency very well and also give specific detail every detail. this year i use the app again, i hastily register premium because i think it still have the mock test as before. but it do not have, it can only read the transcript i say, not my voice! 😡 😡","I used the free version of this app last year and the old version was much better than the new version now. The old version is free but still features Mock Test IELTS Speaking. It analyzes Pronunciation, Intonation, Fluency very well and also gives specific details every detail. This year I used the app again, I hastily registered Premium because I thought it still had the Mock Test as before. But it doesn't have, it can only read the transcript I say, not my voice! 😡 😡",en,0.9335925579071045
36045,64106,,1,"Ban Cu is studying deliciously with Vietnamese translation. The new update is too bad, the interface is difficult to use. Al, LAG does not mean Vietnamese for English words, every time you have to investigate now, you have to use the third app is really boring to say. Mistakes when registering to buy annual packages. I advise me to learn another app.","ban cu be study deliciously with vietnamese translation. the new update be too bad, the interface be difficult to use. al, lag do not mean vietnamese for english words, every time you have to investigate now, you have to use the third app be really boring to say. mistake when register to buy annual packages. i advise me to learn another app.","Ban Cu is studying deliciously with Vietnamese translation. The new update is too bad, the interface is difficult to use. Al, LAG does not mean Vietnamese for English words, every time you have to investigate now, you have to use the third app is really boring to say. Mistakes when registering to buy annual packages. I advise me to learn another app.",en,0.9281270503997803
36046,64107,,1,"The app is not really free, so the listening exercise is max volume and still does not have the sound of R s to get out of a free study","the app be not really free, so the listening exercise be max volume and still do not have the sound of r s to get out of a free study","The app is not really free, so the listening exercise is max volume and still does not have the sound of R s to get out of a free study",en,0.9240115880966187
36047,64108,,4,"It is also good without meaning. Another one is when a sentence that has a word that wants to read separately, click it does not move to a word to learn like another app","it be also good without meaning. another one be when a sentence that have a word that want to read separately, click it do not move to a word to learn like another app","It is also good without meaning. Another one is when a sentence that has a word that wants to read separately, click it does not move to a word to learn like another app",en,0.9659558534622192
36048,64109,,1,"The new version is unacceptable, too much lagding, slow response, lack of content, hard to navigate, ui is suck, hard to learn pronunciation.","the new version be unacceptable, too much lagding, slow response, lack of content, hard to navigate, ui be suck, hard to learn pronunciation.","The new version is unacceptable, too much lagding, slow response, lack of content, hard to navigate, ui is suck, hard to learn pronunciation.",en,0.8408355712890625
36049,64110,,2,"Using old free apps that are okay to learn, if you can buy a new package to learn","use old free apps that be okay to learn, if you can buy a new package to learn","Using old free apps that are okay to learn, if you can buy a new package to learn",en,0.9337860345840454
36050,64111,,4,"I hope the publisher will help me to skip the Seven-up, which is difficult to read but not skip is also annoyed by losing 1 million to buy premium :(","i hope the publisher will help me to skip the seven-up, which be difficult to read but not skip be also annoy by lose 1 million to buy premium","I hope the publisher will help me to skip the Seven-up, which is difficult to read but not skip is also annoyed by losing 1 million to buy premium :(",en,0.9783774614334106
36051,64112,,5,"The app is very good, creating an environment to practice speaking English when there is no partner. There is also a speech analysis to prepare for IELTS Speaking, Prepare presentations, work meeting, etc. NCH is a great application to practice speaking too ^^","the app be very good, create an environment to practice speak english when there be no partner. there be also a speech analysis to prepare for ielts speaking, prepare presentations, work meeting, etc. nch be a great application to practice speak too","The app is very good, creating an environment to practice speaking English when there is no partner. There is also a speech analysis to prepare for IELTS Speaking, Prepare presentations, work meeting, etc. NCH is a great application to practice speaking too ^^",en,0.9182544946670532
36052,64113,,5,"👍🏻 👍🏻 👍🏻 OK is very good, but I read right and wrong 😭 😭 😭 😤 🌜 🌛 👀 👻 and my mistake is crazy, how low I read good","👍 👍 👍 ok be very good, but i read right and wrong 😭 😭 😭 😤 🌜 🌛 👀 👻 and my mistake be crazy, how low i read good","👍🏻👍🏻👍🏻 OK is very good, but I read right and wrong 😭😭😭😤🌜🌛👀👻 and my mistake is crazy, how low I read good",en,0.8811104893684387
36053,64114,,1,Just lag while studying is thrown,just lag while study be throw,Just lag while studying is thrown,en,0.8731372952461243
36054,64115,,5,Automatically deduct money without the consent of the account holder. So bad,automatically deduct money without the consent of the account holder. so bad,Automatically deduct money without the consent of the account holder. So bad,en,0.7239406108856201
36055,64116,,1,Just catch the money,just catch the money,Just catch the money,en,0.8739919662475586
36056,64117,,4,MX lost money,mx lose money,MX lost money,en,0.7552705407142639
36057,64118,,5,1000000 points because it is too happy,1000000 point because it be too happy,1000000 points because it is too happy,en,0.7261101603507996
36058,64119,,5,Thank you so much. I am trying a lot.,thank you so much. i be try a lot.,Thank you so much. I am trying a lot.,en,0.9356443881988525
36060,64121,,5,Help me to learn English very well,help me to learn english very well,Help me to learn English very well,en,0.9862586259841919
36061,64123,,5,Learning Elsa Spek is very happy,learn elsa spek be very happy,Learning Elsa Spek is very happy,en,0.8572090268135071
36062,64126,,5,good pressure,good pressure,good pressure,en,0.8310878276824951
