score,clean_content,minimal_content,roberta_sentiment
3,It does not listen to me and it tells that try again with a bad chime. But still it teaches me English. The problem is that bugs are there and it sometimes glitches my phone . Now I have been improved in English little bit after that it is not letting me to study,it do not listen to me and it tell that try again with a bad chime. but still it teach me english. the problem be that bug be there and it sometimes glitches my phone. now i have be improve in english little bit after that it be not let me to study,negative
5,This application is very quality I am very impressed with this application so I really like,this application be very quality i be very impressed with this application so i really like,positive
5,"Listen to Dan Hager say that, so try it","listen to dan hager say that, so try it",neutral
3,"Minhg has bought a package for 1 year. But it seems that the application is blocked by some carriers, resulting in not being able to download lessons when using wifi at home. I had to change to 3G and I lost my life and was also a bit slow. Hope you soon update the situation.","minhg have buy a package for 1 year. but it seem that the application be block by some carriers, result in not be able to download lesson when use wifi at home. i have to change to 3g and i lose my life and be also a bit slow. hope you soon update the situation.",negative
5,"Why is it so hard to upgrade to the Pro version? Every time you want to take grade, it is up to 10 minutes without results. Please please","why be it so hard to upgrade to the pro version? every time you want to take grade, it be up to 10 minute without results. please please",negative
5,Nice app!!! My English grows with the app!,nice app! my english grows with the app!,positive
2,Oi great with my evaluation in 2016. Update 2024 download for me I use is much worse than at first. Turning all the time makes the user so annoyed. Is Elsa okay? !,oi great with my evaluation in 2016. update 2024 download for me i use be much bad than at first. turn all the time make the user so annoyed. be elsa okay? !,negative
5,"The app is very good, detailed voice recognition","the app be very good, detailed voice recognition",positive
1,👇 👇 👇,👇 👇 👇,neutral
5,it’s very helpful for spoking english,it s very helpful for spoking english,positive
5,"I love it, I'm learning and improve my speaking skills","i love it, i be learn and improve my speaking skill",positive
5,"Such an awesome app, thank you for your work!","such an awesome app, thank you for your work!",positive
5,This application is really cool to be able to practice speaking English 👍 😆,this application be really cool to be able to practice speak english 👍 😆,positive
5,I have used a lots of other app But this is the best app . Thank you very much for the app. Keep Improving the app.,i have use a lot of other app but this be the best app. thank you very much for the app. keep improve the app.,positive
5,"New use, it is also interesting for 5 ⭐ ⭐ ⭐edge","new use, it be also interest for 5 ⭐ ⭐ ⭐edge",neutral
5,Best app to learn speaking English proudly,best app to learn speak english proudly,positive
3,Wait for loading happens frequently,wait for load happens frequently,neutral
1,Only paid nothing to you and check,only pay nothing to you and check,negative
1,I don't know why,i do not know why,negative
5,Worth the rice bowls ^^,worth the rice bowl,neutral
3,This one is very happy but all must pay 1 million,this one be very happy but all must pay 1 million,positive
5,I have been able to get English for the exam later,i have be able to get english for the exam later,neutral
5,l like Elsa,l like elsa,neutral
1,Poor app,poor app,negative
5,"Or more and more upgraded, the more professional","or more and more upgraded, the more professional",neutral
4,The concept and UI are great but the voice detection needs improvement... I have to speak really slowly and exaggerate pronunciations to get the app to process the words correctly for a 98%+ score (e.g. cold has to be pronounced like co-luh-duh). This is good training but not very helpful in the long run when I want to sound natural.,the concept and ui be great but the voice detection need improvement. i have to speak really slowly and exaggerate pronunciation to get the app to process the word correctly for a 98%+ score e. g. cold have to be pronounce like co-luh-duh . this be good training but not very helpful in the long run when i want to sound natural.,negative
5,The app is cool but it looks kind of gloomy for me.,the app be cool but it look kind of gloomy for me.,negative
5,like it 😍,like it 😍,positive
3,I don't know why I can download more lessons,i do not know why i can download more lesson,negative
5,its ok,it be ok,neutral
5,Worthy vs price,worthy v price,neutral
4,"Bgus, just paid","bgus, just pay",neutral
5,"good apps ,, user friendly, fast response to detect each mistake.. 👍 👍","good apps, user friendly, fast response to detect each mistake. 👍 👍",positive
5,"cool app that,s why I am giving this app 5 stars please download to improve your English thank you Elsa speak","cool app that, s why i be give this app 5 star please download to improve your english thank you elsa speak",positive
1,"I have installed this application and actually it is not entirely full in terms of pronunciation and when the user type the wrong vocabulary, the software will still raw and read. As for grammar absolutely no, I see that if we can read but say wrong grammar, it is not like. The software not only consumes a lot of capacity but is also very battery -cost, so if we want to finish the program in the software we still have to spend money, although there are many discounts but not everyone has money to pay, although there is still incentives","i have instal this application and actually it be not entirely full in term of pronunciation and when the user type the wrong vocabulary, the software will still raw and read. as for grammar absolutely no, i see that if we can read but say wrong grammar, it be not like. the software not only consume a lot of capacity but be also very battery -cost, so if we want to finish the program in the software we still have to spend money, although there be many discount but not everyone have money to pay, although there be still incentive",negative
5,Very clear,very clear,neutral
5,excellent 😊 👌,excellent 😊 👌,positive
3,I liked it 😊,i like it 😊,positive
4,Absolutely Amazing but it's not free..,absolutely amaze but it be not free.,neutral
1,I have to wait for a long time while loading the lessons. And the scores are not being calculated sometimes.,i have to wait for a long time while load the lessons. and the score be not be calculate sometimes.,negative
5,"The application is very good, I wonder if Elsa has a Pro package for 1 week. Let me ask: how can I pay (because I don't use Internet Banking)","the application be very good, i wonder if elsa have a pro package for 1 week. let me ask how can i pay because i do not use internet banking",positive
1,"I made a subscription and i have already billed, but my a account apears free version","i make a subscription and i have already billed, but my a account apears free version",neutral
1,"Only free for 7 days, then you have to pay","only free for 7 days, then you have to pay",neutral
1,One of the worst app. Most of the lessons are premium. Only few of them are free.,one of the bad app. most of the lesson be premium. only few of them be free.,negative
1,"I am extremely disappointed with my recent experience with ELSA. Their promotional emails were misleading, promising new features in the 2025 version that were not available to existing users. The customer support was unhelpful, providing unclear timelines for the migration and no resolution for the misleading promotion. Additionally, the forced loss of learning progress for users who wanted to access the new features is unacceptable.","i be extremely disappointed with my recent experience with elsa. their promotional email be misleading, promise new feature in the 2025 version that be not available to exist users. the customer support be unhelpful, provide unclear timeline for the migration and no resolution for the misleading promotion. additionally, the forced loss of learn progress for user who want to access the new feature be unacceptable.",negative
5,This Application Very Help Me Learn Vocabulary and Speaking 🥰 🥰,this application very help me learn vocabulary and speak 🥰 🥰,positive
2,Data download application is very slow. It takes a lot of time to complete the lesson.,data download application be very slow. it take a lot of time to complete the lesson.,negative
5,The app is very good or improved English to correct your mistakes,the app be very good or improved english to correct your mistake,neutral
5,Very helpful app. Able to detect incorrect pronounciation per word. Awesome!,very helpful app. able to detect incorrect pronounciation per word. awesome!,positive
5,nice to meted your app,nice to meted your app,positive
5,"I just want to say,""Thank You ELSA.""","i just want to say, ""thank you elsa. """,positive
5,Like 6* if have,like 6 if have,neutral
1,I couldn't even get in because of the password problems,i could not even get in because of the password problem,negative
5,very helpful for those who have difficulty in pronunciation of English,very helpful for those who have difficulty in pronunciation of english,neutral
2,Slow to respond. It doesn't record what I say. I will keep trying it out some more.,slow to respond. it do not record what i say. i will keep try it out some more.,negative
2,if possible a lot of free features,if possible a lot of free feature,neutral
5,Land price,land price,neutral
3,comfortable to learn,comfortable to learn,neutral
5,It helps imroving pronunciations which gives face-to-face learing experience.,it help imroving pronunciation which give face-to-face learing experience.,neutral
5,This app is phenomenal as it lets you improve your speaking skills to a pro level for American Accent. It's a great way to practice for improving pronunciation.,this app be phenomenal as it let u you improve your speak skill to a pro level for american accent. it be a great way to practice for improve pronunciation.,positive
4,Good app but too limited as forced users to deposit,good app but too limited as forced user to deposit,negative
1,"Always ""Failed to calculation score"".","always ""failed to calculation score"".",negative
5,"speaking english is to tuff for me, I am really wanting to make it correct. I am wanting to speak and write english fluently.","speak english be to tuff for me, i be really want to make it correct. i be want to speak and write english fluently.",neutral
5,Great app if you'd like to enhance your pronunciation. Amazing topics and feedback.,great app if you would like to enhance your pronunciation. amaze topic and feedback.,positive
5,Very useful!!! But this is can't free for all because of trial for 7 days 😭,very useful! but this be cannot free for all because of trial for 7 day 😭,neutral
5,very good 🔥,very good 🔥,positive
1,Every time I go to the app is waiting to be tired even though buying a Pro package but not in to learn,every time i go to the app be wait to be tire even though buy a pro package but not in to learn,neutral
5,Good but there is a place that is not very correct,good but there be a place that be not very correct,negative
5,Dashboard has many unuseful things.,dashboard have many unuseful things.,negative
1,one of the worst apps because we need to purchase their premiums for using this app and anyone who's finding an application for improving their english level then they should try something else because it does not have any free lesson for learning.,one of the bad apps because we need to purchase their premium for use this app and anyone who be find an application for improve their english level then they should try something else because it do not have any free lesson for learning.,negative
4,"Why do I pronounce the chairter ch is k, but why does Elsa say it's wrong","why do i pronounce the chairter ch be k, but why do elsa say it be wrong",negative
1,"It keeps logged out whenever i open the app, please fix it","it keep log out whenever i open the app, please fix it",negative
5,Thank you very well for the application publisher,thank you very well for the application publisher,positive
5,Vietnamese goods,vietnamese good,neutral
3,"Let me ask if you keep doing the input and then start studying according to the roadmap, will you lose money or have to register to lose money?","let me ask if you keep do the input and then start study accord to the roadmap, will you lose money or have to register to lose money?",neutral
5,It helps Mik learn English better,it help mik learn english good,positive
5,"Thanks to the publisher for creating this English learning app for the whole country. Thanks to the app, all domestic mang learns English easily. Sincerely ck ckat mkoma Hanh's","thanks to the publisher for create this english learning app for the whole country. thanks to the app, all domestic mang learns english easily. sincerely ck ckat mkoma hanhs",positive
5,"I love this app a lot and I can improve my English skills like reading, listening, speaking and pronanciation as well.","i love this app a lot and i can improve my english skill like reading, listening, speaking and pronanciation as well.",positive
3,"too many BS exercises (distinguishing between ""player"" and ""prayer"" is what almost everyone can do). Stressing exercises are also too easy. Very disappointed, please provide me a refund","too many b exercise distinguish between ""player"" and ""prayer"" be what almost everyone can do . stressing exercise be also too easy. very disappointed, please provide me a refund",negative
4,"Very excellent app, it improved my phonetic sounds of English letter.","very excellent app, it improve my phonetic sound of english letter.",positive
5,improve my speaking skill,improve my speaking skill,neutral
3,Why doesn't I have the latest update?,why do not i have the late update?,negative
5,it's definitely a good app but needs to stay free as well,it be definitely a good app but need to stay free as well,positive
5,"Quality but not yet able to pay, maybe next time to use again.","quality but not yet able to pay, maybe next time to use again.",negative
2,A good application is only stingy. Up.,a good application be only stingy. up.,negative
5,This is for people who lose their original English without things,this be for people who lose their original english without thing,neutral
5,Have use a day and it works fine,have use a day and it work fine,neutral
1,"Elsa was not charged before, but now he wants to continue studying his school fee. I don't like this very much 😌","elsa be not charge before, but now he want to continue study his school fee. i do not like this very much 😌",negative
5,Very good for the speaker,very good for the speaker,positive
1,"I don't like the app they steal money from you, all I just did is to try this for 7 days and then I got the 7 days trial. After that they charged me 54$ and I didn't do that purchase. Please give back my money that all I have for my college school payment 😭","i do not like the app they steal money from you, all i just do be to try this for 7 day and then i get the 7 day trial. after that they charge me 54$ and i do not do that purchase. please give back my money that all i have for my college school payment 😭",negative
5,Excellent app it's very useful,excellent app it be very useful,positive
1,why i cant sign up?,why i cannot sign up?,negative
4,Not seen such great app for learning English pronunciation 👌 👌,not see such great app for learn english pronunciation 👌 👌,positive
3,"Many times for me to make my fault while I read it quite uncomfortable! (Ratio of about 20%)! Sometimes I haven't finished reading but it automatically turns off again, I am looking forward to fixing this problem! In addition, just telling the words I read wrong with red printing and recording some tips for me to fix is ​​not enough. Should be accompanied by some video tutorials for vowel pronunciation or consonant wrong side to facilitate the user! Hopefully Elsa can complete these problems <3","many time for me to make my fault while i read it quite uncomfortable! ratio of about 20% ! sometimes i have not finish reading but it automatically turn off again, i be look forward to fix this problem! in addition, just tell the word i read wrong with red printing and record some tip for me to fix be not enough. should be accompany by some video tutorial for vowel pronunciation or consonant wrong side to facilitate the user! hopefully elsa can complete these problem <3",negative
5,I can easily improving my pronounce skill,i can easily improve my pronounce skill,positive
1,Very bad ... the method of education is stupid and I do not recommend it,very bad. the method of education be stupid and i do not recommend it,negative
5,"A very good app and really helpful! Just love it! But i am stuck on my learning path due to a serious bug and can't proceed to the next lessons. To be specific, i am stuck in the 'flora' unit's last lesson. Whenever i start the lesson, it tells me- "" Oh no! something went wrong, please try again. "" Whatever i say or type, the same error message appears. My internet connection and device, both are working and all other apps have no problem working. Please devs, fix this issue asap.","a very good app and really helpful! just love it! but i be stick on my learning path due to a serious bug and cannot proceed to the next lessons. to be specific, i be stick in the flora unit last lesson. whenever i start the lesson, it tell me- "" oh no! something go wrong, please try again. "" whatever i say or type, the same error message appears. my internet connection and device, both be work and all other apps have no problem working. please devs, fix this issue asap.",negative
1,Which said 70-80 for 5 stars,which say 70-80 for 5 star,neutral
4,This app is so good.I am a beginner.So I practises this app.I was approved.,this app be so good. i be a beginner. so i practises this app. i be approved.,positive
5,Inviting studying is very good,invite study be very good,positive
5,is a good application,be a good application,positive
5,The best app to learn English like a native.,the best app to learn english like a native.,positive
4,Nice for pratice speak .,nice for pratice speak.,positive
5,The first app I pay that do not think about on mobile,the first app i pay that do not think about on mobile,negative
5,Jadan in learning,jadan in learn,neutral
4,"nice teaching method for learning English accents , stresses and dynamics...loved it completely but the subscription is not at all affordable to a college student like me...","nice teach method for learn english accents, stress and dynamics. love it completely but the subscription be not at all affordable to a college student like me.",neutral
5,"its good, keep it up guys","it be good, keep it up guy",positive
5,actually I am feeling better now cause I got Elsa it's a very nice app,actually i be feel good now cause i get elsa it be a very nice app,positive
5,Such a great app for speaking skill.,such a great app for speak skill.,positive
5,Great App to learn and improve my English!,great app to learn and improve my english!,positive
5,"I spoke to better now in this app , thanks for Elsa speak team","i speak to well now in this app, thanks for elsa speak team",positive
5,"excellent,this app really help me.","excellent, this app really help me.",positive
1,"The app is slow, the speed of loading slowly, leaving the preparation to start, take time, choose the sound between the two words is also slow. Through learning duo. Then again, the sound of the sound sometimes deaf, read the throat, read it correctly without hearing, deaf to tired. With the lesson without updates, every time that reads and read again and again, the lesson daily, must show people to see the progress of people, how to study 60 days so much ???","the app be slow, the speed of load slowly, leave the preparation to start, take time, choose the sound between the two word be also slow. through learn duo. then again, the sound of the sound sometimes deaf, read the throat, read it correctly without hearing, deaf to tired. with the lesson without updates, every time that read and read again and again, the lesson daily, must show people to see the progress of people, how to study 60 day so much?",negative
1,I thought it was free,i think it be free,neutral
5,"I knew Elsa when I saw my friends and asked him and then downloaded it to try it out. Beautiful graphics are easy to use but divide the sound practice quite clearly, the topic lesson and the daily training plan for me to feel extremely good. The time I spent a lot of work so it was quite tired and could not invest a lot in learning English, but with only 10-15 minutes Elsa daily made me not discouraged but the motivation was still high because studying with Elsa felt very liked, recognizing the sound of the error quite meticulously.","i know elsa when i saw my friend and ask him and then download it to try it out. beautiful graphic be easy to use but divide the sound practice quite clearly, the topic lesson and the daily training plan for me to feel extremely good. the time i spend a lot of work so it be quite tired and could not invest a lot in learn english, but with only 10-15 minute elsa daily make me not discourage but the motivation be still high because study with elsa felt very liked, recognize the sound of the error quite meticulously.",positive
5,This app is very good and good for you,this app be very good and good for you,positive
5,"Son Tung studied, I studied","son tung studied, i study",neutral
5,Best way to learn better than taking classes .,best way to learn good than take classes.,neutral
1,"Ting ting sound when pronounced right or wrong is too loud, drowning out all the extremely uncomfortable sounds. The app did not accept the voice, read dozens of times did not accept it, then I tried the dictionary and opened it for Elsa to record it, it was exactly 38% :)))","ting ting sound when pronounce right or wrong be too loud, drown out all the extremely uncomfortable sounds. the app do not accept the voice, read dozen of time do not accept it, then i try the dictionary and open it for elsa to record it, it be exactly 38%",negative
5,Very useful for my pronunciation,very useful for my pronunciation,positive
1,"I upgraded a week ago for unlimited resources. After paying, I was supposed to get an email for the next steps but I haven't hear from anyone.","i upgrade a week ago for unlimited resources. after paying, i be suppose to get an email for the next step but i have not hear from anyone.",negative
5,: ') The application is really good.,the application be really good.,positive
5,It was really very helpful. Love this App 🥀. Take love from Bangladesh 🥰 🥰 🥀🇧🇩🇧🇩,it be really very helpful. love this app 🥀. take love from bangladesh 🥰 🥰 🥀,positive
1,"the latest update is now very intrusive by accessing the phone number and device IDs, whether a call is active, and the remote number connected by a call. what are you going to do with these private information ?","the late update be now very intrusive by access the phone number and device ids, whether a call be active, and the remote number connect by a call. what be you go to do with these private information?",negative
4,I need the function to read the wrong sound again,i need the function to read the wrong sound again,negative
5,"Easy to manipulate, help me adjust the wrong pronunciation words. Interesting experience should be very interested in learning","easy to manipulate, help me adjust the wrong pronunciation words. interest experience should be very interested in learn",negative
1,We tried to pronounce Vietnamese standard and wrong a whole word that I read English is also wrong,we try to pronounce vietnamese standard and wrong a whole word that i read english be also wrong,negative
5,"The application is great, but it does not find Arabic language, please provide it","the application be great, but it do not find arabic language, please provide it",negative
5,Exciting and not bored,excite and not bore,positive
5,Like 😍 😍 😍,like 😍 😍 😍,positive
5,Amazing app to learn more English,amaze app to learn more english,neutral
1,"Finally, I could upgrade to premium, and now the app doesn't has the option to practice pronunciation. That was the only thing because I liked it and tried to upgrade many times. l Now I don't think the app is useful","finally, i could upgrade to premium, and now the app do not have the option to practice pronunciation. that be the only thing because i like it and try to upgrade many times. l now i do not think the app be useful",negative
1,Who hears a dense voice,who hear a dense voice,negative
2,Its probably Good as they say but it's a pay to learn system so I uninstalled the app an didn't try it ok.,it be probably good as they say but it be a pay to learn system so i uninstalled the app an do not try it ok.,negative
1,It said 5 lessons a day with the free Version but no when i got 2 lessons done i cant do any more and it said you cant do real life Conversations when i did a real life Conversations with the free Version so this app is a scam,it say 5 lesson a day with the free version but no when i get 2 lesson do i cannot do any more and it say you cannot do real life conversation when i do a real life conversation with the free version so this app be a scam,negative
5,great app but unfortunately it's only for a week to get free,great app but unfortunately it be only for a week to get free,negative
5,"It can be said that Elsa Speak is the most effective English learning application that I have ever known. When I was introduced by my friends, I was very surprised by the ability to support learners of the app. The App interface is very beautiful and friendly, reasonable division, with many prices for users to choose. In addition to being very excellent pronunciation, especially when pronouncing difficult words and Ending Sound, Elsa also helps beginners to learn to monitor the learning process, which has more motivation and inspiration.","it can be say that elsa speak be the most effective english learn application that i have ever known. when i be introduce by my friends, i be very surprised by the ability to support learner of the app. the app interface be very beautiful and friendly, reasonable division, with many price for user to choose. in addition to be very excellent pronunciation, especially when pronounce difficult word and end sound, elsa also help beginner to learn to monitor the learning process, which have more motivation and inspiration.",positive
4,"The app is good overall, although it's a little bit buggy on my Android phone, perhaps due to a slow internet connection.","the app be good overall, although it be a little bit buggy on my android phone, perhaps due to a slow internet connection.",neutral
1,"No pay, no gain :)","no pay, no gain",neutral
1,ai cant understand your pronunciation,ai cannot understand your pronunciation,negative
1,meh. the scoring system just so random. useless.,meh. the scoring system just so random. useless.,negative
5,I want to tell all of you guys... Download this app,i want to tell all of you guys. download this app,neutral
1,I can't use it,i cannot use it,negative
1,Too slow,too slow,negative
5,perfect and enjoyable,perfect and enjoyable,positive
5,I loved so much thanks any way,i love so much thanks any way,positive
5,this app is soo good it helps to improve your pronouns just install the app,this app be soo good it help to improve your pronoun just install the app,positive
5,I already know more English words,i already know more english word,neutral
2,"Firstly when I only begin to use this app, I thought that it's awesome app. But now I am not sure in this. I had some problems and bags with this app, especially with audio. It's so bad for me. I said about this to authors, but they didn't do anything. And also one, it is only in my opinion, but I think that better is learn English by yourself then with robots!","firstly when i only begin to use this app, i think that it be awesome app. but now i be not sure in this. i have some problem and bag with this app, especially with audio. it be so bad for me. i say about this to authors, but they do not do anything. and also one, it be only in my opinion, but i think that good be learn english by yourself then with robots!",negative
5,Extremely useful ❤️,extremely useful ❤,positive
1,"The app is error. When I turn on the mic and try to talk, the mic back to off","the app be error. when i turn on the mic and try to talk, the mic back to off",negative
4,I wish it was a little cheaper. I'm a broke student who can't afford anything,i wish it be a little cheaper. i be a broke student who cannot afford anything,negative
4,Good use for work,good use for work,neutral
5,it's really nice app...,it be really nice app.,positive
5,this is very fun and helpful!!!! 👍,this be very fun and helpful! 👍,positive
3,"No monthly, or 3-months plan in the app?. Update: I stuck at word ""Both"". the app always detect my pronunciation of ""Both"" wrong, but when i check with other apps my pronunciation was right. I find it as a big problem, because that can lead to time wasting in trying to correct something which is already correct. And we might end up learning wrong pronunciation. Update 2: Even after subscription, all courses are not unlocked? and I have to pay extra for courses like ""Oxford Bussiness Results""?","no monthly, or 3-months plan in the app? . update i stick at word ""both"". the app always detect my pronunciation of ""both"" wrong, but when i check with other apps my pronunciation be right. i find it as a big problem, because that can lead to time waste in try to correct something which be already correct. and we might end up learn wrong pronunciation. update 2 even after subscription, all course be not unlocked? and i have to pay extra for course like ""oxford bussiness results""?",negative
